client_id,name,lastname,ID,email,phone,country,city,address,fecha_registro,fecha_nacimiento,genero,estado,canal
CL-00018,磊,张,SIM-3372374E,ming60@example.net,+86-563555408,China,巢湖县,新疆维吾尔自治区银川县花溪张路E座 288333,2024-06-22,2005-10-29,Femenino,Activo,Referido
CL-00019,Flavio,Malave,SIM-5677041C,vmoya@example.org,+52-904307106,México,San Anabel de la Montaña,"Boulevard Puente 494 Interior 689, San Georgina los altos, CAMP 19560",2025-08-17,1946-11-28,Otro,Activo,Instagram
CL-00020,Artemio,Barberá,SIM-6457716Y,leopoldo06@example.net,+58-595701452,Venezuela,Jaén,"Pasadizo Adriana Fortuny 530, Guipúzcoa, 08857",2024-10-15,1980-04-20,Femenino,Inactivo,Tienda física
CL-00021,Matteo,Duarte,SIM-X0629710Q,marcos-vinicius49@example.com,+55-244208080,Brasil,Fogaça,"Passarela de Santos, 6, Santana Do Cafezal, 30522-561 Cassiano do Norte / AC",2025-08-02,1967-01-29,Masculino,Activo,Tienda física
CL-00022,April,Porter,SIM-Y1790332N,jeffersonsteven@example.org,+1-664502085,Canadá,Serranoport,"7464 Michael Station, South Geraldfort, NL J9C2C4",2024-07-05,1999-03-12,Femenino,Activo,Instagram
CL-00023,里佳,渡辺,SIM-8600278A,bmiura@example.com,+81-140328845,Japón,葛飾区,神奈川県稲城市卯の里3丁目10番4号,2023-09-04,1975-09-28,Masculino,Activo,Tienda física
CL-00024,Vittorio,Silvestri,SIM-X0514443W,roberta33@example.org,+39-161059970,Italia,Casalanguida,"Stretto Alberico, 58, 05100, Terni (TR)",2024-06-18,1981-11-19,Masculino,Activo,Web
CL-00025,Gaetano,Sontag,SIM-9343434Y,zhenk@example.org,+49-252613035,Alemania,Rathenow,"Heinz-Gerd-Schuster-Gasse 738, 05572 Schwabmünchen",2024-07-21,2000-11-11,Masculino,Activo,Instagram
CL-00026,Валерьян,Кудрявцева,SIM-Z2915239N,karpovmilan@example.com,+7-602650538,Rusia,к. Королев,"с. Верхний Баскунчак, алл. 8-е Марта, д. 3 стр. 480, 234634",2025-08-07,1971-04-09,Otro,Activo,Web
CL-00027,Jose Ignacio,Toledo,SIM-X0589233L,rufina97@example.com,+34-710737918,España,Murcia,"Via de Juan Pablo Escribano 9 Apt. 60 , Jaén, 40769",2025-01-28,1964-03-02,Femenino,Activo,Instagram
CL-00028,Guy,Ramos,SIM-9585956Q,francois35@example.org,+33-136903744,Francia,Dumas,"boulevard Aubry, 77790 BoucherBourg",2024-06-21,1988-09-29,Masculino,Activo,Instagram
CL-00029,Georges,De Oliveira,SIM-1844561F,henriette69@example.org,+33-988970463,Francia,Saint Alix,"rue Agnès Seguin, 17244 Cohenboeuf",2023-10-01,1976-08-17,Femenino,Activo,Tienda física
CL-00030,Guadalupe,Jara,SIM-Y1598563V,hsainz@example.net,+1-809-530758024,Dominican Republic,Girona,"Ronda de Ariel Jódar 266 Piso 2 , Granada, 06151",2025-07-12,2003-01-06,Masculino,Inactivo,Instagram
CL-00031,Renata,Fiol,SIM-Z2442746P,elianabarroso@example.org,+34-871366800,España,Sevilla,"Glorieta de Lucila Ribas 60 Puerta 4 , Murcia, 20204",2024-03-25,1985-03-24,Otro,Activo,Instagram
CL-00032,Patrick,Harrington,SIM-7544557M,jocelyncastillo@example.net,+1-316364164,Estados Unidos,South Amanda,"425 Elliott Harbors, North Eric, WV 08315",2024-02-26,2004-04-28,Femenino,Activo,Web
CL-00033,Julio,Arroyo,SIM-8052448X,cervantesfrancisco@example.net,+52-951147670,México,Vieja Sudán del Sur,"Periférico Sur Paredes 721 Interior 362, Vieja Sudán del Sur, CAMP 46340",2023-11-23,1998-09-08,Masculino,Activo,Referido
CL-00034,晨,潘,SIM-Y1241609T,changli@example.com,+86-111884734,China,斌市,陕西省淑华市梁平沈阳路e座 451908,2025-08-03,1983-01-08,Masculino,Activo,Instagram
CL-00035,浩,谢,SIM-2499263Z,linjing@example.org,+86-584193940,China,武汉市,广东省贵阳县滨城许街b座 291850,2025-04-07,1984-06-14,Femenino,Activo,Web
CL-00036,Cayetano,Calvet,SIM-Z2501358Q,kmelendez@example.com,+34-983734272,España,Navarra,"Plaza de Pío Fernández 14, Tarragona, 14392",2025-08-09,1964-08-14,Otro,Inactivo,Instagram
CL-00037,晃,長谷川,SIM-2587746Q,ryoheimatsumoto@example.com,+81-967044802,Japón,板橋区,三重県川崎市川崎区大中17丁目10番20号 下吉羽ハイツ005,2024-04-19,1968-05-04,Femenino,Suspendido,Instagram
CL-00038,Tassilo,Rogge,SIM-6616401Z,arturbolnbach@example.org,+49-646388005,Alemania,Neuruppin,"Ingrid-Kabus-Weg 7, 92710 Schwäbisch Hall",2024-09-02,1958-08-02,Femenino,Suspendido,Tienda física
CL-00039,Godofredo,Martínez,SIM-X0786132S,jennyreal@example.net,+58-750407946,Venezuela,Cuenca,"Callejón Abilio Bou 9 Puerta 1 , Almería, 29411",2025-06-25,2002-11-12,Otro,Activo,Web
CL-00040,Suzanne,Lewis,SIM-Z2623866A,hmunoz@example.com,+1-802117722,Canadá,Sandersmouth,"2102 Schaefer Island Apt. 717, Joseborough, NB M3C 1G1",2024-05-11,1965-02-23,Masculino,Activo,Instagram
CL-00041,Donatella,Iadanza,SIM-6146026N,gianluca68@example.net,+39-850770019,Italia,Pisticci,"Canale Veneziano, 70 Piano 3, 50124, Galluzzo (FI)",2023-10-09,1970-11-02,Otro,Activo,Referido
CL-00042,Cheryl,Nguyen,SIM-Y1238319E,fdiaz@example.net,+1-881888490,Estados Unidos,Port Michaelview,"091 Hendricks Branch, North Beverlytown, NC 48173",2025-02-01,1978-04-18,Otro,Activo,Web
CL-00043,Massimiliano,Giulietti,SIM-X0887310Q,ubaldocutuli@example.com,+39-794818804,Italia,Roversano,"Vicolo Greco, 14 Piano 5, 06039, Santa Maria In Valle (PG)",2023-08-25,1990-11-16,Masculino,Inactivo,Web
CL-00044,Елисей,Селезнев,SIM-Z2170482H,nifontavdeev@example.org,+7-529982632,Rusia,г. Карпинск,"к. Шахты, ш. Л.Толстого, д. 21 к. 85, 566501",2024-06-16,1976-02-10,Masculino,Activo,Referido
CL-00045,Suzanne,Laporte,SIM-7574801G,zacharielecomte@example.org,+33-692698021,Francia,Pottier,"9, avenue de Poulain, 53342 Rochenec",2024-12-02,1945-05-04,Otro,Activo,Instagram
CL-00046,Maurice,Bolnbach,SIM-5204585F,muelichennatalja@example.org,+49-808339861,Alemania,Heinsberg,"Ortmannallee 48-17, 06321 Backnang",2025-08-13,1993-06-09,Femenino,Activo,Web
CL-00047,Sükrü,Bender,SIM-X0275658A,ebertdrago@example.com,+49-293413679,Alemania,Lippstadt,"Stolzeallee 26-17, 94063 Heinsberg",2023-12-26,1983-01-09,Femenino,Suspendido,Referido
CL-00048,Anastasios,Putz,SIM-Y1157534J,eckart94@example.net,+49-768703896,Alemania,Illertissen,"Rolf-Dieter-Huhn-Weg 7, 78048 Osterburg",2023-09-15,1969-05-27,Femenino,Activo,Referido
CL-00049,Régulo,Fábregas,SIM-Y1814029L,tapiaagapito@example.com,+1-809-690712897,Dominican Republic,Vizcaya,"Pasaje Ruperta Tudela 562, Santa Cruz de Tenerife, 08899",2024-05-04,1963-05-19,Femenino,Activo,Referido
CL-00050,Anita,Piazzi,SIM-X0862269E,cesarottiuberto@example.org,+39-938905089,Italia,Puntalazzo,"Viale Bondumier, 950, 13019, Morca (VC)",2024-06-24,1990-01-22,Femenino,Inactivo,Referido
CL-00051,René,Lorenzo,SIM-X0275084G,carmenreig@example.net,+34-222542696,España,Tarragona,"Via de Cruz Hernández 615 Puerta 2 , Asturias, 31065",2024-06-10,1997-04-13,Otro,Activo,Tienda física
CL-00052,Vitor Gabriel,Fogaça,SIM-X0377803M,ravivasconcelos@example.org,+55-836565790,Brasil,Teixeira de Pereira,"Alameda de Nogueira, São Luiz, 76947024 Vieira / RJ",2025-04-17,1981-10-24,Otro,Activo,Instagram
CL-00053,Darius,Martinez,SIM-3600580E,raymichelle@example.net,+1-598137395,Estados Unidos,Boyleshire,"9689 Kerry Parkway Apt. 815, Nathanville, IA 63802",2025-07-19,1973-05-31,Masculino,Activo,Instagram
CL-00054,Bianca,Almeida,SIM-X0175362X,riosjoao-felipe@example.net,+55-635598562,Brasil,Cardoso das Flores,"Feira Nicolas Araújo, 813, Boa Viagem, 44306-056 Vasconcelos / SC",2024-11-02,1991-02-26,Femenino,Activo,Instagram
CL-00055,Hans-Helmut,Wiek,SIM-X0611150V,marita87@example.net,+49-373427095,Alemania,Düren,"Veronika-Ladeck-Gasse 1, 15877 Eggenfelden",2023-12-17,1980-01-04,Femenino,Activo,Tienda física
CL-00056,Arturo,Pineda,SIM-Z2720376M,estelabermudez@example.org,+52-633702757,México,San Ramiro los altos,"Corredor Filipinas 449 Edif. 747 , Depto. 736, Nueva Vanuatu, COAH 20051",2024-09-06,1988-01-25,Masculino,Activo,Web
CL-00057,Manuel,Ligorio,SIM-Y1769589S,raffaellamondadori@example.com,+39-653132503,Italia,Torrevecchia,"Via Modigliani, 5, 88064, Chiaravalle Centrale (CZ)",2024-10-08,1962-06-16,Femenino,Activo,Web
CL-00058,Leonardo,Pires,SIM-6560588E,isaquepastor@example.org,+55-250385818,Brasil,Jesus do Campo,"Condomínio Rocha, 2, São José, 18991698 Gonçalves de Minas / SC",2024-12-20,1987-05-30,Masculino,Activo,Referido
CL-00059,Mareile,Jungfer,SIM-Y1505946K,lachmannhans-hermann@example.com,+49-406922697,Alemania,Stade,"Eberthplatz 8-5, 36690 Auerbach",2025-05-25,2006-03-23,Otro,Activo,Instagram
CL-00060,淳,高橋,SIM-Y1101928K,miturumatsumoto@example.com,+81-733739267,Japón,香取市,香川県葛飾区大京町36丁目23番7号,2025-06-09,1993-11-30,Otro,Activo,Web
CL-00061,Steven,Williams,SIM-Z2776029K,qbuck@example.org,+1-383330857,Canadá,Angelabury,"979 Stephens Inlet Apt. 809, New Tina, MB X3J 6Y8",2024-07-21,2001-09-25,Otro,Activo,Web
CL-00062,Ángela,Tur,SIM-6242001P,celestino44@example.com,+58-414011620,Venezuela,Barcelona,"Cuesta Juliana Morante 63 Piso 4 , Cádiz, 08609",2025-02-24,1988-02-14,Masculino,Activo,Tienda física
CL-00063,Alexander,Castillo,SIM-Y1475781D,larsencharles@example.org,+1-448297518,Canadá,Melissaport,"48753 Lisa Grove, East Gina, MB M8V 5B2",2023-12-07,1961-07-20,Femenino,Activo,Tienda física
CL-00064,Josep,Arribas,SIM-Y1390312P,amalia69@example.com,+1-809-361751134,Dominican Republic,Málaga,"Pasadizo de Violeta Noguera 53, Las Palmas, 48494",2024-03-14,1985-06-09,Masculino,Activo,Web
CL-00065,彬,舒,SIM-X0525973D,yan13@example.org,+86-756251346,China,柳州县,辽宁省南昌县西峰巢湖路e座 611956,2023-09-26,2006-04-15,Femenino,Activo,Web
CL-00066,Lisa,Quasimodo,SIM-4647714N,raffaele90@example.org,+39-996748697,Italia,Lorenzana,"Viale Morena, 72, 02013, Antrodoco (RI)",2024-10-27,1971-04-17,Masculino,Activo,Tienda física
CL-00067,Brandi,Butler,SIM-6085723S,nicholasspears@example.org,+1-914567777,Estados Unidos,New Michelle,"08462 Hicks Crossing Apt. 309, West Ericaton, TX 09689",2023-11-14,1989-11-24,Masculino,Activo,Instagram
CL-00068,Julia,Archuleta,SIM-Z2956514W,alma03@example.com,+52-682475262,México,San Sara los altos,"Circunvalación Campos 790 414, San Enrique de la Montaña, Q. ROO 43045-3548",2023-11-16,1954-11-15,Masculino,Activo,Tienda física
CL-00069,玉英,刘,SIM-Y1447470B,dcheng@example.com,+86-797892560,China,长沙市,山东省娜市华龙惠州路U座 612097,2024-12-30,1974-05-12,Otro,Activo,Web
CL-00070,Isabela,Medina,SIM-1286810Y,amadorsolis@example.org,+52-193432550,México,San Georgina de la Montaña,"Avenida Norte Salas 829 Edif. 032 , Depto. 182, Vieja Nauru, NL 25371-2396",2024-12-29,1971-07-11,Otro,Inactivo,Instagram
CL-00071,Omar,Mosquera,SIM-3621820X,barriosamada@example.org,+58-801157706,Venezuela,Madrid,"Vial Mateo Sabater 1, Burgos, 27234",2024-11-23,1969-09-03,Femenino,Activo,Tienda física
CL-00072,Adrian,Williamson,SIM-Z2951135M,madison11@example.org,+1-136189683,Estados Unidos,South James,"60419 Cruz Springs, North Jacob, CA 51165",2025-02-18,1947-04-24,Otro,Activo,Web
CL-00073,Анжелика,Андреева,SIM-3877919G,isaevtimur@example.net,+7-175730147,Rusia,ст. Суздаль,"ст. Урюпинск, бул. Краснопартизанский, д. 145, 036136",2024-07-25,1962-05-16,Femenino,Suspendido,Tienda física
CL-00074,León,Guerra,SIM-7801034D,juanitamolins@example.org,+34-707218268,España,La Coruña,"Rambla de Elisa Gallardo 33, Albacete, 25309",2023-12-20,1958-08-03,Masculino,Activo,Tienda física
CL-00075,Léo,Araújo,SIM-8922822H,psampaio@example.com,+55-433060178,Brasil,Rocha,"Quadra de Martins, Santa Tereza, 18211019 Viana Verde / RS",2024-05-26,1997-12-14,Femenino,Activo,Instagram
CL-00076,Bernard,Teixeira,SIM-Y1432807E,jbrunel@example.org,+33-344195034,Francia,Renauddan,"73, boulevard de Leblanc, 72865 Saint Odette",2024-02-27,1990-12-19,Otro,Inactivo,Referido
CL-00077,Rosalinda,Lerma,SIM-8056425P,planamirta@example.com,+34-171714785,España,Badajoz,"Alameda Concha Bauzà 47, Albacete, 25040",2024-01-30,1987-11-14,Masculino,Activo,Referido
CL-00078,Philippe,Foucher,SIM-Y1870565K,ylombard@example.net,+33-222523165,Francia,Hardyboeuf,"24, boulevard de Bailly, 52183 Chauvin-les-Bains",2025-01-14,1945-03-12,Otro,Activo,Referido
CL-00079,Харлампий,Потапов,SIM-Z2383656M,zbirjukova@example.net,+7-266449055,Rusia,д. Якутск,"клх Черский, пр. 9 мая, д. 611 к. 6, 128027",2025-01-15,1946-11-16,Femenino,Activo,Instagram
CL-00080,Robin,Dominguez,SIM-Z2390620T,burtonchristine@example.com,+1-955488129,Canadá,Williamston,"1798 Morris Groves Suite 542, East Chelsea, QC L9X9N9",2023-10-17,1987-09-12,Otro,Activo,Instagram
CL-00081,Alexa,Chavez,SIM-Y1553384X,brownheidi@example.com,+1-360890821,Estados Unidos,Joshuashire,"159 Johnson Locks, New Teresaview, TX 13797",2025-05-28,1987-09-24,Otro,Activo,Web
CL-00082,Adela,Maza,SIM-2423878T,osvaldo50@example.com,+1-809-314906256,Dominican Republic,Málaga,"Cuesta de Dimas Morante 79, Málaga, 16725",2025-01-16,1946-05-09,Otro,Activo,Web
CL-00083,Bettina,Montesano,SIM-Z2973181V,cfrescobaldi@example.com,+39-378159599,Italia,Corica,"Via Parpinel, 2 Piano 5, 87057, Scigliano (CS)",2024-06-03,1957-01-03,Masculino,Activo,Referido
CL-00084,Kelly,Webb,SIM-Z2647717A,mreid@example.com,+1-993103282,Estados Unidos,Johnfort,"66369 Barker Union Apt. 833, North Connorton, NY 46261",2023-12-16,1996-06-07,Otro,Activo,Referido
CL-00085,Анжела,Зайцев,SIM-Y1145225D,anike1971@example.org,+7-866646287,Rusia,г. Шереметьево,"п. Курганинск, бул. Камский, д. 4/8, 681604",2023-08-27,1948-01-05,Femenino,Activo,Instagram
CL-00086,Katherine,Zavala,SIM-Z2202863S,taylor47@example.org,+1-751225940,Canadá,Port Henry,"46551 Gomez Mountains, New Jennifer, PE P2H5V1",2024-10-30,1982-06-27,Otro,Activo,Web
CL-00087,Andrea,Walker,SIM-6975641V,brittanyshaffer@example.com,+1-845820960,Canadá,East Jennifer,"7771 Lloyd Loaf, Port Tammy, NS A5A1X9",2023-12-06,1986-04-21,Otro,Activo,Referido
CL-00088,Aurora,Alcaraz,SIM-Y1610842Z,estradatania@example.com,+52-422059241,México,Nueva República de Corea,"Avenida Norte Ávalos 482 254, San Iván los altos, PUE 33544-0630",2023-10-29,1982-09-01,Masculino,Activo,Tienda física
CL-00089,Isaac,Benard,SIM-Z2869944G,mbenoit@example.com,+33-140368704,Francia,RocheVille,"17, rue Lucie Martin, 30190 Saint RichardBourg",2024-05-12,1989-06-11,Masculino,Suspendido,Tienda física
CL-00090,Alex,Valera,SIM-4053345D,camilamaza@example.net,+34-102175260,España,Salamanca,"Callejón Eva Almeida 57 Apt. 47 , Soria, 09159",2024-10-22,1977-04-18,Otro,Suspendido,Instagram
CL-00091,Norberto,Milla,SIM-Z2436138R,miguel-angel19@example.org,+58-327409566,Venezuela,Barcelona,"Urbanización Teodosio Moles 4, Barcelona, 48171",2023-11-17,1952-02-25,Femenino,Activo,Web
CL-00092,Cristal,de León,SIM-1228980K,natividad28@example.org,+52-116924983,México,Vieja Bulgaria,"Privada Sur Lebrón 798 456, San Adriana los bajos, CHIH 27735",2023-10-11,1968-10-17,Femenino,Inactivo,Tienda física
CL-00093,Éric,Guillot,SIM-Z2447199E,yvoisin@example.com,+33-203944190,Francia,Le Goffboeuf,"78, rue Philippe Benoit, 44505 Saint CécileVille",2024-04-16,1948-10-31,Otro,Activo,Web
CL-00094,拓真,渡辺,SIM-3198486Z,hyamashita@example.net,+81-754027296,Japón,利島村,大阪府葛飾区西浅草15丁目10番4号,2024-12-26,1990-11-22,Otro,Activo,Tienda física
CL-00095,Janice,Harmon,SIM-X0159541J,bishoplisa@example.org,+1-461906598,Estados Unidos,Lake Amandaview,"73003 Hansen Mountain, West Michael, DE 91953",2024-07-13,1963-10-23,Masculino,Activo,Tienda física
CL-00096,Lisa,Noble,SIM-X0609117P,sullivandaniel@example.org,+1-146277202,Canadá,North Melissa,"912 Jackson Street Apt. 107, West William, PE C1B6Y1",2025-04-27,1989-12-14,Femenino,Activo,Tienda física
CL-00097,Paul,Ford,SIM-9711972S,pricehoward@example.org,+1-112002725,Estados Unidos,West Jamesmouth,"81374 Mata Islands, East Joshuaview, DC 64505",2025-04-09,2001-03-25,Femenino,Activo,Tienda física
CL-00098,Júlia,da Rocha,SIM-4224006X,erick18@example.com,+55-129360928,Brasil,Fogaça das Pedras,"Via Rocha, 81, Ermelinda, 52930-175 Cavalcante / TO",2024-08-26,1991-07-02,Femenino,Activo,Tienda física
CL-00099,Vidal,Llobet,SIM-Y1729932X,imendez@example.org,+1-809-335266208,Dominican Republic,Murcia,"Cañada de Aitana Ariza 35 Apt. 30 , La Rioja, 32263",2025-04-03,1964-06-13,Femenino,Activo,Referido
CL-00100,Nicolas,Fabre,SIM-X0701990F,bfleury@example.net,+33-697077023,Francia,Samson,"rue de Delahaye, 97429 Pasquier-sur-Breton",2025-02-24,2004-10-10,Masculino,Activo,Tienda física
CL-00101,Laura,Martin,SIM-Y1543445F,cgrimes@example.com,+1-975139929,Estados Unidos,Smithmouth,"8414 Smith Expressway Apt. 817, Port Kayla, NE 15562",2024-04-24,1945-05-24,Masculino,Activo,Instagram
CL-00102,Emiliano,Pozuelo,SIM-Y1691723G,imilla@example.net,+1-809-637354385,Dominican Republic,Toledo,"Cañada de Rodolfo Corominas 46, Palencia, 33067",2025-03-29,1948-02-29,Femenino,Activo,Referido
CL-00103,翼,鈴木,SIM-7985489G,satokenichi@example.org,+81-147812264,Japón,香取郡東庄町,茨城県西多摩郡日の出町浅草22丁目8番18号 中鉢石町クレスト302,2024-06-20,2002-10-08,Otro,Activo,Referido
CL-00104,Ángela,Nebot,SIM-6365611Q,duquerosario@example.com,+34-432396489,España,Baleares,"Urbanización Juan Carlos Zabala 5 Piso 2 , Asturias, 45931",2025-06-12,1970-04-10,Otro,Activo,Web
CL-00105,Ana,Cortes,SIM-2022269V,smendez@example.com,+1-809-623506987,Dominican Republic,Navarra,"Urbanización Marcelino Llobet 42 Puerta 1 , Girona, 02288",2024-08-25,1945-07-21,Otro,Activo,Web
CL-00106,Melissa,Gomes,SIM-5703891Y,rebecafonseca@example.org,+55-686493151,Brasil,Barros,"Jardim Matheus Sousa, 63, Leonina, 99279470 Rios de Cavalcante / RO",2025-05-04,2002-06-14,Masculino,Suspendido,Tienda física
CL-00107,Alvaro,Tafoya,SIM-3749113K,pedrozarufino@example.net,+52-584349454,México,San Pascual los bajos,"Diagonal Ponce 522 964, Vieja Nigeria, SIN 08639",2024-06-21,1991-11-26,Otro,Activo,Web
CL-00108,Марфа,Маркова,SIM-4494893A,konstantinovernst@example.org,+7-135995368,Rusia,п. Данков,"клх Тура, пр. Чернышевского, д. 73 стр. 1/3, 220563",2023-12-06,1971-07-31,Otro,Activo,Tienda física
CL-00109,Alyssa,Callahan,SIM-8012839F,fbarajas@example.com,+1-677727766,Canadá,Jasonmouth,"375 Mary Unions Apt. 583, Weissborough, PE L2V 6P6",2025-06-08,1956-08-31,Otro,Suspendido,Instagram
CL-00110,Ратмир,Колесников,SIM-X0577091K,konovalovaangelina@example.org,+7-667564436,Rusia,г. Осташков,"ст. Бавлы, пр. Заводской, д. 6/9 к. 69, 275892",2024-05-31,1996-01-16,Femenino,Activo,Web
CL-00111,Jacqueline,Roth,SIM-3446809Y,nlove@example.com,+1-661986232,Estados Unidos,Brownborough,"37412 Amanda Curve, Johnborough, AK 52728",2024-05-14,1964-01-16,Otro,Activo,Web
CL-00112,Indira,Peralta,SIM-Z2205242W,rrivas@example.com,+52-983488224,México,Nueva Polonia,"Calle Arredondo 067 552, Nueva Honduras, VER 43772",2025-02-15,1997-01-20,Otro,Activo,Tienda física
CL-00113,Guillermina,Miramontes,SIM-Y1507683X,mateobanuelos@example.net,+52-441976484,México,Vieja Pakistán,"Boulevard Samoa 045 929, San Paulina de la Montaña, AGS 15907",2024-02-03,1977-06-23,Masculino,Activo,Referido
CL-00114,Jordana,Chico,SIM-5929476F,marmolnuria@example.org,+1-809-872210579,Dominican Republic,Melilla,"Urbanización María Nieto 6 Puerta 8 , Navarra, 49439",2024-12-24,2006-02-05,Masculino,Inactivo,Instagram
CL-00115,Ronald,Dodson,SIM-4535140T,ulogan@example.net,+1-714220198,Canadá,Wadeburgh,"3304 Victor Circle Suite 390, West Brad, NU Y6X 8N3",2024-01-01,1960-03-30,Otro,Suspendido,Web
CL-00116,Baldomero,Prada,SIM-X0655173H,javierbosch@example.net,+58-315073798,Venezuela,La Rioja,"Avenida de Bautista Pons 43, Santa Cruz de Tenerife, 02668",2025-04-16,1996-07-27,Masculino,Activo,Web
CL-00117,Francesca,Soffici,SIM-2596066X,dariopizziol@example.net,+39-186693286,Italia,Bivio Cascinare,"Piazza Rosina, 89, 57027, San Vincenzo (LI)",2024-01-16,1952-06-12,Otro,Activo,Web
CL-00118,Daniel,Anderson,SIM-Y1422492B,jonesrobin@example.org,+1-130004340,Canadá,Port Christopher,"43922 Mills Motorway, Floreston, NS X7R 8R1",2024-07-07,1965-04-11,Otro,Activo,Referido
CL-00119,Joan,Gálvez,SIM-Z2730651E,hugovergara@example.net,+1-809-927821994,Dominican Republic,Valencia,"C. Adelia Ricart 22 Piso 1 , Santa Cruz de Tenerife, 23759",2023-09-15,1985-01-17,Masculino,Activo,Referido
CL-00120,Isabel,Roldán,SIM-X0215115L,hgodoy@example.org,+58-850541926,Venezuela,Lleida,"Via Celestino Cañellas 8 Puerta 0 , Sevilla, 15077",2024-08-08,1983-12-18,Otro,Activo,Web
CL-00121,Teófilo,Taboada,SIM-Z2726499X,maria-del-carmen03@example.org,+58-733777012,Venezuela,Jaén,"Vial de Gema Carreras 531, León, 39529",2024-08-10,1983-08-02,Femenino,Inactivo,Web
CL-00122,健一,清水,SIM-6579826D,naoto60@example.net,+81-651805051,Japón,中央区,京都府印旛郡本埜村蔵前23丁目8番8号 パーク蔵前915,2024-06-28,1987-05-24,Femenino,Activo,Web
CL-00123,Natalio,Nicolás,SIM-X0196140L,vanesa98@example.com,+1-809-902155232,Dominican Republic,Sevilla,"Avenida Araceli Delgado 41, Córdoba, 49908",2023-12-05,1987-10-20,Otro,Activo,Tienda física
