employee_id,branch_id,nombre,rol,horario,salario_base,horas_extras,status,vacaciones_restantes,fecha_ingreso,fecha_egreso
E-000034,BR-00001,Aaron Valenzuela,Vendedor,"Lunes a Viernes, 8:30–17:30",1535,10,Activo,18,2022-06-09,
E-000035,BR-00001,Michael Pittman,Vendedor,"Martes a Domingo, 11:00–19:00",1781,7,De vacaciones,13,2023-11-22,
E-000036,BR-00001,Tina Mcconnell,Vendedor,"Todos los días, 8:00–22:00",1561,15,Activo,9,2024-04-11,
E-000037,BR-00001,Eric Sloan,Vendedor,"Lunes a Viernes, 8:30–17:30",1785,11,Activo,15,2021-05-26,
E-000038,BR-00001,Jeffrey Sanders,Vendedor,"Lunes a Sábado, 10:00–20:00",1418,7,Activo,22,2025-05-12,
E-000039,BR-00001,Jason Levine,Vendedor,"Lunes a Viernes, 8:30–17:30",1234,19,Activo,12,2023-04-12,
E-000040,BR-00001,Tara Barnett,Vendedor,"Lunes a Viernes, 8:30–17:30",1569,11,Activo,12,2021-10-03,
E-000041,BR-00001,Ryan Lee,Vendedor,"Martes a Domingo, 11:00–19:00",1323,5,Activo,19,2024-11-25,
E-000042,BR-00001,Richard Noble,Vendedor,"Lunes a Viernes, 9:00–18:00",1459,5,Activo,12,2022-05-24,
E-000043,BR-00001,Joseph King,Vendedor,"Martes a Domingo, 11:00–19:00",1290,2,Activo,13,2022-12-31,
E-000044,BR-00001,Amy Wright,Vendedor,"Lunes a Sábado, 10:00–20:00",1287,1,Activo,20,2021-11-30,
E-000045,BR-00001,Paul Johnston,Vendedor,"Lunes a Sábado, 10:00–20:00",1289,6,Activo,9,2020-12-18,
E-000046,BR-00001,Arthur Johnson,Vendedor,"Lunes a Viernes, 8:30–17:30",1649,2,Activo,12,2024-04-18,
E-000047,BR-00001,Eric Garcia,Vendedor,"Todos los días, 8:00–22:00",1475,18,Activo,16,2024-01-18,
E-000048,BR-00001,Alex Aguilar,Vendedor,"Lunes a Viernes, 9:00–18:00",1356,16,Activo,12,2021-03-03,
E-000049,BR-00001,Kimberly Wood,Vendedor,"Lunes a Viernes, 8:30–17:30",1736,9,Activo,10,2021-10-14,
E-000050,BR-00001,Bryan Grant,Vendedor,"Lunes a Viernes, 9:00–18:00",1464,10,Activo,22,2022-07-16,
E-000051,BR-00001,Melanie West,Vendedor,"Todos los días, 8:00–22:00",1229,18,Activo,15,2022-01-17,
E-000052,BR-00001,Monica Snow,Vendedor,"Lunes a Sábado, 10:00–20:00",1203,9,Activo,22,2022-02-19,
E-000053,BR-00001,Lacey Chung,Vendedor,"Lunes a Viernes, 9:00–18:00",1597,7,Activo,8,2023-09-03,
E-000054,BR-00001,Tracy Klein,Vendedor,"Lunes a Viernes, 9:00–18:00",1204,1,Activo,8,2023-07-21,
E-000055,BR-00001,Amanda Miller,Vendedor,"Todos los días, 8:00–22:00",1549,15,Activo,10,2024-09-17,
E-000056,BR-00001,Kimberly Buckley,Vendedor,"Todos los días, 8:00–22:00",1378,9,Activo,21,2025-05-31,
E-000057,BR-00001,Tony Ballard,Vendedor,"Lunes a Sábado, 10:00–20:00",1574,20,De vacaciones,20,2021-08-22,
E-000058,BR-00001,Jane Davis,Vendedor,"Todos los días, 8:00–22:00",1552,7,De baja,11,2023-05-22,2024-08-29
E-000059,BR-00001,Maria Cross,Vendedor,"Lunes a Sábado, 10:00–20:00",1770,19,Activo,17,2024-12-24,
E-000060,BR-00001,Eric Smith,Vendedor,"Lunes a Viernes, 8:30–17:30",1313,20,De vacaciones,20,2023-05-15,
E-000061,BR-00001,Kevin Wagner,Vendedor,"Lunes a Viernes, 8:30–17:30",1706,8,De vacaciones,5,2022-02-01,
E-000062,BR-00001,Vanessa Davis,Vendedor,"Lunes a Viernes, 9:00–18:00",1595,1,Activo,10,2025-03-16,
E-000063,BR-00001,Samuel Grant,Vendedor,"Lunes a Sábado, 10:00–20:00",1344,20,Activo,14,2022-10-01,
E-000064,BR-00001,Leslie Dunn,Vendedor,"Todos los días, 8:00–22:00",1321,16,Activo,21,2020-12-24,
E-000065,BR-00001,Monica Thornton,Vendedor,"Lunes a Sábado, 10:00–20:00",1620,6,Activo,14,2020-09-14,
E-000066,BR-00001,Ms. Mary Dillon,Vendedor,"Martes a Domingo, 11:00–19:00",1649,18,Activo,10,2023-11-11,
E-000067,BR-00001,Anthony Salas,Vendedor,"Lunes a Viernes, 9:00–18:00",1326,0,Activo,17,2024-12-25,
E-000068,BR-00001,Benjamin Weber,Vendedor,"Lunes a Viernes, 9:00–18:00",1271,9,Activo,10,2020-09-21,
E-000069,BR-00001,Kimberly Carter,Vendedor,"Martes a Domingo, 11:00–19:00",1771,5,Activo,20,2021-08-14,
E-000070,BR-00001,Ricardo Gonzalez,Vendedor,"Lunes a Sábado, 10:00–20:00",1729,9,De baja,17,2024-09-12,2024-12-28
E-000071,BR-00001,Emily Jackson,Vendedor,"Lunes a Viernes, 8:30–17:30",1681,10,Activo,22,2023-03-09,
E-000072,BR-00001,Melissa Mckenzie,Vendedor,"Martes a Domingo, 11:00–19:00",1210,12,De baja,20,2021-05-03,2023-11-21
E-000073,BR-00001,Ryan Campbell,Vendedor,"Martes a Domingo, 11:00–19:00",1549,3,Activo,22,2021-10-06,
E-000074,BR-00001,Joshua Bell,Vendedor,"Todos los días, 8:00–22:00",1708,14,Activo,18,2025-06-03,
E-000075,BR-00001,Jimmy Aguirre,Vendedor,"Lunes a Viernes, 8:30–17:30",1536,9,Activo,14,2024-09-14,
E-000076,BR-00001,William Carr,Vendedor,"Todos los días, 8:00–22:00",1491,0,Despedido,0,2020-10-20,2022-11-05
E-000077,BR-00001,Lindsay Little,Vendedor,"Martes a Domingo, 11:00–19:00",1541,16,Activo,12,2025-04-14,
E-000078,BR-00001,Cheryl Wilson,Vendedor,"Lunes a Viernes, 9:00–18:00",1782,6,Activo,12,2025-04-02,
E-000079,BR-00001,Melissa Jacobs,Vendedor,"Todos los días, 8:00–22:00",1744,4,Activo,11,2021-10-16,
E-000080,BR-00001,Melissa Collins,Vendedor,"Lunes a Sábado, 10:00–20:00",1604,10,Activo,19,2022-12-12,
E-000081,BR-00001,Melinda Bentley,Vendedor,"Lunes a Sábado, 10:00–20:00",1609,2,Activo,18,2022-08-12,
E-000082,BR-00001,Amy Shields,Vendedor,"Lunes a Sábado, 10:00–20:00",1778,8,Activo,9,2021-11-29,
E-000083,BR-00001,Tony Johnson,Vendedor,"Lunes a Viernes, 9:00–18:00",1463,12,De vacaciones,6,2021-11-01,
E-000084,BR-00001,Kyle Allen,Vendedor,"Lunes a Sábado, 10:00–20:00",1458,19,Activo,20,2021-09-02,
E-000085,BR-00001,Lance Rodriguez,Vendedor,"Martes a Domingo, 11:00–19:00",1627,2,Activo,15,2025-06-16,
E-000086,BR-00001,Amanda Castillo,Vendedor,"Lunes a Sábado, 10:00–20:00",1486,12,Activo,10,2024-11-06,
E-000087,BR-00001,Gabriel Miles,Vendedor,"Lunes a Viernes, 8:30–17:30",1453,12,Activo,7,2024-06-10,
E-000088,BR-00001,Colin Lowery,Vendedor,"Lunes a Sábado, 10:00–20:00",1314,0,Activo,7,2023-02-27,
E-000089,BR-00001,Daryl Terry,Vendedor,"Lunes a Sábado, 10:00–20:00",1704,0,De baja,14,2023-11-18,2025-05-24
E-000090,BR-00001,Lisa Wood,Vendedor,"Lunes a Sábado, 10:00–20:00",1600,3,De vacaciones,1,2023-03-26,
E-000091,BR-00001,Jason Griffith,Vendedor,"Lunes a Viernes, 9:00–18:00",1417,15,Activo,8,2022-03-21,
E-000092,BR-00001,Tabitha Scott,Vendedor,"Lunes a Viernes, 9:00–18:00",1577,1,Activo,8,2021-12-05,
E-000093,BR-00001,Heather Callahan,Vendedor,"Lunes a Sábado, 10:00–20:00",1337,7,Activo,22,2023-01-04,
E-000094,BR-00001,Patrick Jones,Vendedor,"Todos los días, 8:00–22:00",1330,7,Activo,8,2020-10-31,
E-000095,BR-00001,Joseph Thomas,Vendedor,"Lunes a Viernes, 9:00–18:00",1502,11,Activo,10,2024-07-04,
E-000096,BR-00001,Scott Salas,Vendedor,"Martes a Domingo, 11:00–19:00",1712,16,Activo,11,2022-10-29,
E-000097,BR-00001,Richard Hahn,Vendedor,"Lunes a Viernes, 9:00–18:00",1250,8,Activo,16,2023-02-09,
E-000098,BR-00001,Richard Ward,Vendedor,"Lunes a Viernes, 8:30–17:30",1774,18,Activo,7,2023-12-15,
E-000099,BR-00001,Alexandra Duffy,Vendedor,"Lunes a Sábado, 10:00–20:00",1373,9,Activo,12,2025-04-03,
E-000100,BR-00001,Taylor Harris,Vendedor,"Martes a Domingo, 11:00–19:00",1792,20,Activo,15,2021-05-01,
E-000101,BR-00001,Chloe Cole,Vendedor,"Lunes a Viernes, 9:00–18:00",1779,1,Activo,14,2021-01-08,
E-000102,BR-00001,Sherri Brandt,Vendedor,"Lunes a Sábado, 10:00–20:00",1654,1,Activo,14,2022-12-16,
E-000103,BR-00001,Veronica Hutchinson,Vendedor,"Lunes a Sábado, 10:00–20:00",1476,8,Activo,14,2025-05-30,
E-000104,BR-00001,Juan Matthews,Vendedor,"Lunes a Viernes, 9:00–18:00",1611,12,Activo,22,2022-08-24,
E-000105,BR-00001,Paul Simpson,Vendedor,"Lunes a Sábado, 10:00–20:00",1546,10,Activo,10,2024-04-07,
E-000106,BR-00001,Marilyn Gray,Vendedor,"Lunes a Viernes, 9:00–18:00",1458,1,Activo,16,2023-02-05,
E-000107,BR-00001,Michael Oconnell,Vendedor,"Martes a Domingo, 11:00–19:00",1452,12,Activo,14,2021-07-23,
E-000108,BR-00001,David Salas,Vendedor,"Lunes a Viernes, 9:00–18:00",1268,15,Activo,15,2022-08-27,
E-000109,BR-00001,Andrew Mitchell,Vendedor,"Martes a Domingo, 11:00–19:00",1792,8,Activo,13,2023-12-18,
E-000110,BR-00001,Megan Bryant,Vendedor,"Lunes a Sábado, 10:00–20:00",1308,16,Activo,11,2025-01-18,
E-000111,BR-00001,Michelle Mcpherson,Vendedor,"Lunes a Sábado, 10:00–20:00",1599,15,De vacaciones,12,2021-08-21,
E-000112,BR-00001,James Stout,Vendedor,"Lunes a Viernes, 9:00–18:00",1466,16,Activo,19,2022-03-25,
E-000113,BR-00001,Jamie Walker,Vendedor,"Martes a Domingo, 11:00–19:00",1788,16,Activo,15,2024-08-22,
E-000114,BR-00001,Veronica Thomas,Vendedor,"Martes a Domingo, 11:00–19:00",1487,5,Activo,17,2025-04-27,
E-000115,BR-00001,Kimberly Vaughan,Vendedor,"Lunes a Sábado, 10:00–20:00",1406,16,Activo,21,2025-03-13,
E-000116,BR-00001,George Taylor,Vendedor,"Lunes a Viernes, 8:30–17:30",1428,15,Activo,9,2025-05-09,
E-000117,BR-00001,Edward Campbell,Vendedor,"Lunes a Sábado, 10:00–20:00",1418,0,Activo,22,2024-09-15,
E-000118,BR-00001,Jeremy Thomas,Vendedor,"Lunes a Sábado, 10:00–20:00",1643,15,Activo,18,2021-12-20,
E-000119,BR-00001,Stephanie Simmons,Vendedor,"Lunes a Sábado, 10:00–20:00",1252,17,Activo,20,2024-10-22,
E-000120,BR-00001,Curtis Cantrell,Vendedor,"Lunes a Viernes, 9:00–18:00",1705,7,Activo,22,2021-05-13,
E-000121,BR-00001,Kayla Wilson,Vendedor,"Lunes a Sábado, 10:00–20:00",1203,20,Activo,16,2022-02-18,
E-000122,BR-00001,Robyn Savage,Vendedor,"Martes a Domingo, 11:00–19:00",1756,18,Activo,14,2025-07-13,
E-000123,BR-00001,Daniel Kim,Vendedor,"Lunes a Sábado, 10:00–20:00",1321,8,De vacaciones,10,2021-07-01,
E-000124,BR-00001,Leah Hampton,Vendedor,"Lunes a Viernes, 8:30–17:30",1594,9,Activo,19,2020-11-04,
E-000125,BR-00001,Linda Sherman,Vendedor,"Lunes a Sábado, 10:00–20:00",1669,3,De baja,12,2022-06-18,2024-05-21
E-000126,BR-00001,Tracy Gonzalez,Vendedor,"Lunes a Viernes, 9:00–18:00",1703,20,De vacaciones,7,2023-08-17,
E-000127,BR-00001,William Armstrong,Vendedor,"Martes a Domingo, 11:00–19:00",1293,18,Activo,21,2024-09-21,
E-000128,BR-00001,Andrea Silva,Vendedor,"Lunes a Viernes, 8:30–17:30",1364,2,Activo,10,2021-06-07,
E-000129,BR-00001,Sherry Campbell,Vendedor,"Todos los días, 8:00–22:00",1301,10,Activo,7,2023-11-18,
E-000130,BR-00001,Kayla Harper,Vendedor,"Lunes a Sábado, 10:00–20:00",1637,19,Activo,9,2024-12-24,
E-000131,BR-00001,Diana Boone,Vendedor,"Martes a Domingo, 11:00–19:00",1370,9,Activo,12,2024-02-18,
E-000132,BR-00001,Isaiah Brown,Vendedor,"Lunes a Viernes, 9:00–18:00",1672,4,Activo,9,2024-01-20,
E-000133,BR-00001,Brendan Cisneros,Vendedor,"Lunes a Viernes, 9:00–18:00",1341,1,Activo,17,2022-03-07,
E-000134,BR-00001,Jason Carson,Vendedor,"Lunes a Sábado, 10:00–20:00",1595,6,Activo,19,2020-12-01,
E-000135,BR-00001,Stephanie Roy,Vendedor,"Lunes a Sábado, 10:00–20:00",1744,0,Activo,20,2024-12-15,
E-000136,BR-00001,Cody Baker,Vendedor,"Lunes a Sábado, 10:00–20:00",1674,20,Activo,15,2025-03-22,
E-000137,BR-00001,Thomas Harris,Vendedor,"Lunes a Viernes, 9:00–18:00",1417,12,De baja,12,2021-02-16,2023-05-14
E-000138,BR-00001,Stacy Hooper,Vendedor,"Todos los días, 8:00–22:00",1709,13,De vacaciones,6,2024-01-26,
E-000139,BR-00001,David Matthews,Vendedor,"Todos los días, 8:00–22:00",1402,2,Activo,9,2022-02-21,
E-000140,BR-00001,Carol Riley,Vendedor,"Martes a Domingo, 11:00–19:00",1316,4,Activo,22,2021-08-15,
E-000141,BR-00001,Debra Kim,Vendedor,"Todos los días, 8:00–22:00",1238,10,Activo,18,2022-06-07,
E-000142,BR-00001,Nicole Mitchell,Vendedor,"Lunes a Sábado, 10:00–20:00",1600,14,Activo,16,2024-02-26,
E-000143,BR-00001,Michael Ayala,Vendedor,"Todos los días, 8:00–22:00",1305,8,Activo,11,2023-04-05,
E-000144,BR-00001,Joshua Torres,Vendedor,"Lunes a Viernes, 8:30–17:30",1361,4,Activo,9,2023-05-15,
E-000145,BR-00001,Andrew Griffin,Vendedor,"Todos los días, 8:00–22:00",1449,12,Activo,17,2021-06-15,
E-000146,BR-00001,Amanda Shaffer,Vendedor,"Lunes a Sábado, 10:00–20:00",1214,10,Activo,17,2022-08-17,
E-000147,BR-00001,Charles Rose,Vendedor,"Lunes a Viernes, 9:00–18:00",1288,0,Activo,20,2021-09-18,
E-000148,BR-00002,Luis Rodriguez,Manager,"Lunes a Viernes, 8:30–17:30",2868,17,Activo,18,2022-08-08,
E-000149,BR-00002,Amanda Stanton,Sub Manager,"Martes a Domingo, 11:00–19:00",2126,9,Activo,21,2025-07-21,
E-000150,BR-00002,Jacqueline Holmes,Vendedor,"Lunes a Viernes, 9:00–18:00",1398,8,Activo,21,2023-12-19,
E-000151,BR-00002,Jenny Salinas,Vendedor,"Lunes a Viernes, 9:00–18:00",1758,19,De vacaciones,8,2023-04-08,
E-000152,BR-00002,Melissa Mcdaniel,Vendedor,"Todos los días, 8:00–22:00",1334,3,Activo,22,2021-09-11,
E-000153,BR-00002,Matthew Hart,Vendedor,"Lunes a Viernes, 9:00–18:00",1495,11,Activo,12,2022-06-01,
E-000154,BR-00002,Darrell Rowland,Vendedor,"Todos los días, 8:00–22:00",1520,5,Activo,9,2025-06-29,
E-000155,BR-00002,Cory Moran,Vendedor,"Todos los días, 8:00–22:00",1521,1,Activo,18,2024-11-08,
E-000156,BR-00002,Timothy Sharp,Vendedor,"Lunes a Viernes, 9:00–18:00",1758,12,Activo,15,2021-10-18,
E-000157,BR-00002,Kristen Guerra,Vendedor,"Martes a Domingo, 11:00–19:00",1769,3,Activo,18,2023-04-06,
E-000158,BR-00002,Colin Chavez,Vendedor,"Martes a Domingo, 11:00–19:00",1394,18,Activo,22,2024-10-30,
E-000159,BR-00002,Shannon Thompson,Vendedor,"Martes a Domingo, 11:00–19:00",1598,6,Activo,18,2022-08-19,
E-000160,BR-00002,Curtis Alvarado,Vendedor,"Martes a Domingo, 11:00–19:00",1702,16,Activo,19,2023-08-13,
E-000161,BR-00002,Michael Ramirez,Vendedor,"Lunes a Viernes, 9:00–18:00",1782,15,Activo,12,2024-09-04,
E-000162,BR-00002,John Deleon,Vendedor,"Martes a Domingo, 11:00–19:00",1240,8,Activo,9,2021-07-17,
E-000163,BR-00002,Kristen Sandoval,Vendedor,"Lunes a Viernes, 8:30–17:30",1462,0,Activo,7,2022-11-24,
E-000164,BR-00002,Gregory Barker,Vendedor,"Todos los días, 8:00–22:00",1701,19,Activo,8,2021-09-26,
E-000165,BR-00002,Jimmy Roach,Vendedor,"Todos los días, 8:00–22:00",1309,18,De vacaciones,8,2023-12-09,
E-000166,BR-00002,Olivia Ross,Vendedor,"Lunes a Sábado, 10:00–20:00",1450,4,Activo,12,2025-07-04,
E-000167,BR-00002,Rodney Cruz,Vendedor,"Lunes a Sábado, 10:00–20:00",1221,20,De baja,8,2022-10-07,2023-12-13
E-000168,BR-00002,Terry Harrison,Vendedor,"Todos los días, 8:00–22:00",1657,5,Activo,10,2021-09-27,
E-000169,BR-00002,Shannon Bond,Vendedor,"Lunes a Viernes, 9:00–18:00",1200,4,Activo,11,2024-07-29,
E-000170,BR-00002,Erica Jones,Vendedor,"Lunes a Sábado, 10:00–20:00",1609,7,Activo,19,2025-02-11,
E-000171,BR-00002,Samantha Wright,Vendedor,"Todos los días, 8:00–22:00",1516,3,Activo,20,2025-06-09,
E-000172,BR-00002,Robert Williams,Vendedor,"Todos los días, 8:00–22:00",1256,3,Activo,20,2022-05-26,
E-000173,BR-00002,Curtis Salazar,Vendedor,"Martes a Domingo, 11:00–19:00",1353,3,Activo,16,2023-10-24,
E-000174,BR-00002,Marcus Spencer,Vendedor,"Lunes a Sábado, 10:00–20:00",1752,5,Activo,13,2021-07-11,
E-000175,BR-00002,Jamie Watkins,Vendedor,"Lunes a Sábado, 10:00–20:00",1438,3,Activo,18,2023-01-15,
E-000176,BR-00002,Nicole Ellis,Vendedor,"Lunes a Sábado, 10:00–20:00",1763,6,Activo,11,2025-01-22,
E-000177,BR-00002,Matthew Matthews,Vendedor,"Lunes a Viernes, 9:00–18:00",1260,3,Activo,15,2022-04-23,
E-000178,BR-00002,Jack York,Vendedor,"Lunes a Sábado, 10:00–20:00",1454,10,Activo,8,2024-12-08,
E-000179,BR-00002,Jennifer Hood,Vendedor,"Martes a Domingo, 11:00–19:00",1503,3,Activo,7,2022-05-04,
E-000180,BR-00002,Jennifer Moore,Vendedor,"Martes a Domingo, 11:00–19:00",1548,18,De vacaciones,11,2023-01-05,
E-000181,BR-00002,Joshua White,Vendedor,"Lunes a Sábado, 10:00–20:00",1290,1,Activo,18,2022-02-16,
E-000182,BR-00002,Sandra Brooks,Vendedor,"Lunes a Viernes, 8:30–17:30",1474,9,Activo,17,2025-07-02,
E-000183,BR-00002,Adrian Taylor,Vendedor,"Lunes a Viernes, 8:30–17:30",1216,2,Activo,13,2022-02-17,
E-000184,BR-00002,Mary Hernandez,Vendedor,"Todos los días, 8:00–22:00",1306,3,De baja,12,2020-12-29,2022-12-18
E-000185,BR-00002,Jason Gallagher,Vendedor,"Lunes a Viernes, 9:00–18:00",1359,3,Activo,22,2024-05-29,
E-000186,BR-00002,Christina Hunt,Vendedor,"Lunes a Viernes, 9:00–18:00",1425,10,Activo,15,2024-11-05,
E-000187,BR-00002,Timothy Davidson,Vendedor,"Lunes a Viernes, 8:30–17:30",1343,4,Activo,10,2024-09-19,
E-000188,BR-00002,Robert Daniels,Vendedor,"Todos los días, 8:00–22:00",1276,6,De vacaciones,18,2024-09-26,
E-000189,BR-00002,Lance Hall,Vendedor,"Lunes a Viernes, 9:00–18:00",1382,5,Activo,22,2021-05-25,
E-000190,BR-00002,Mitchell Reid,Vendedor,"Lunes a Viernes, 8:30–17:30",1762,11,Activo,12,2021-10-15,
E-000191,BR-00002,Megan Taylor,Vendedor,"Todos los días, 8:00–22:00",1519,13,Activo,9,2024-11-30,
E-000192,BR-00002,Sally Johnson,Vendedor,"Lunes a Sábado, 10:00–20:00",1277,7,Activo,13,2022-12-27,
E-000193,BR-00002,Betty Wallace,Vendedor,"Martes a Domingo, 11:00–19:00",1258,9,Activo,21,2023-05-25,
E-000194,BR-00002,Stephen Norris,Vendedor,"Lunes a Viernes, 8:30–17:30",1419,19,Activo,7,2021-04-11,
E-000195,BR-00002,Erika Cowan,Vendedor,"Lunes a Viernes, 9:00–18:00",1311,15,Activo,12,2023-01-07,
E-000196,BR-00002,William Miller,Vendedor,"Martes a Domingo, 11:00–19:00",1799,7,Activo,13,2023-01-27,
E-000197,BR-00002,Christopher Smith,Vendedor,"Martes a Domingo, 11:00–19:00",1347,15,Activo,14,2025-02-06,
E-000198,BR-00002,Veronica Noble,Vendedor,"Lunes a Viernes, 8:30–17:30",1377,1,Activo,19,2021-02-21,
E-000199,BR-00002,Kelsey Dillon,Vendedor,"Todos los días, 8:00–22:00",1623,19,Activo,8,2022-12-26,
E-000200,BR-00002,Cynthia Huber,Vendedor,"Lunes a Viernes, 9:00–18:00",1710,10,De vacaciones,20,2024-04-06,
E-000201,BR-00002,Darrell Fernandez,Vendedor,"Lunes a Viernes, 8:30–17:30",1531,0,Activo,17,2025-07-20,
E-000202,BR-00002,Michael Humphrey,Vendedor,"Lunes a Viernes, 9:00–18:00",1219,20,De vacaciones,11,2023-12-27,
E-000203,BR-00002,Eddie Webb,Vendedor,"Martes a Domingo, 11:00–19:00",1491,17,Activo,21,2024-07-27,
E-000204,BR-00002,Carolyn Kim,Vendedor,"Lunes a Viernes, 8:30–17:30",1271,10,De vacaciones,10,2021-05-03,
E-000205,BR-00002,Ashley Moon,Vendedor,"Lunes a Sábado, 10:00–20:00",1665,4,Activo,13,2025-08-03,
E-000206,BR-00002,Catherine Goodwin,Vendedor,"Lunes a Viernes, 8:30–17:30",1691,3,De vacaciones,4,2024-08-09,
E-000207,BR-00002,Claudia Cuevas,Vendedor,"Lunes a Viernes, 8:30–17:30",1480,16,De baja,18,2023-11-09,2024-07-05
E-000208,BR-00002,Scott Johnson,Vendedor,"Lunes a Sábado, 10:00–20:00",1479,14,Activo,11,2022-06-02,
E-000209,BR-00002,Mr. Robert Fox,Vendedor,"Lunes a Viernes, 9:00–18:00",1532,11,Activo,8,2021-02-13,
E-000210,BR-00002,Robert Patterson,Vendedor,"Martes a Domingo, 11:00–19:00",1245,3,Activo,19,2022-05-22,
E-000211,BR-00002,Michael Petersen,Vendedor,"Lunes a Viernes, 9:00–18:00",1606,2,Activo,17,2023-05-11,
E-000212,BR-00002,Joshua Sosa,Vendedor,"Lunes a Viernes, 9:00–18:00",1467,20,Activo,9,2024-10-21,
E-000213,BR-00002,Lisa Wilson,Vendedor,"Martes a Domingo, 11:00–19:00",1464,2,Activo,10,2020-09-21,
E-000214,BR-00002,Hannah Davis,Vendedor,"Lunes a Sábado, 10:00–20:00",1477,3,Activo,22,2020-12-27,
E-000215,BR-00002,Sarah Kelley,Vendedor,"Lunes a Sábado, 10:00–20:00",1431,5,Activo,12,2023-02-03,
