fidelizacion_id,client_id,nivel,puntos_acumulados,beneficios,fecha_ultima_actividad
FD-00196,Kevin Alexander,Bronce,4719,5% descuento en snacks,2025-07-02
FD-00197,Andrea Stone,Plata,1536,10% en bebidas y envíos gratis,2025-08-14
FD-00198,Allison Meyer,Bronce,3382,5% descuento en snacks,2025-05-28
FD-00199,Elizabeth Guzman,Bronce,1591,5% descuento en snacks,2025-07-10
FD-00200,Nicholas Gomez,Plata,3215,10% en bebidas y envíos gratis,2025-06-26
FD-00201,Megan Torres,Bronce,4241,5% descuento en snacks,2025-06-11
FD-00202,Teresa Ramirez,Bronce,4401,5% descuento en snacks,2025-06-13
FD-00203,Chelsea Atkinson,Bronce,4678,5% descuento en snacks,2025-05-30
FD-00204,Alexis Perry,Plata,1718,10% en bebidas y envíos gratis,2025-06-07
FD-00205,Matthew Banks,Bronce,4368,5% descuento en snacks,2025-07-20
FD-00206,Michael Lee,Bronce,2011,5% descuento en snacks,2025-07-03
FD-00207,Mark Gray,Plata,4468,10% en bebidas y envíos gratis,2025-07-28
FD-00208,Julian Estrada,Plata,3685,10% en bebidas y envíos gratis,2025-06-07
FD-00209,Isabella Kaiser PhD,Bronce,1746,5% descuento en snacks,2025-08-11
FD-00210,Sergio George,Bronce,4833,5% descuento en snacks,2025-05-31
FD-00211,Brian Harrison,Plata,2116,10% en bebidas y envíos gratis,2025-08-22
FD-00212,Robin Johnson,Bronce,1248,5% descuento en snacks,2025-08-06
FD-00213,Christina Alexander,Bronce,2701,5% descuento en snacks,2025-06-11
FD-00214,Jennifer Stanley,Oro,1236,15% en todo + acceso anticipado,2025-05-26
FD-00215,Scott Copeland,Oro,1271,15% en todo + acceso anticipado,2025-06-20
FD-00216,Patrick Donovan,Plata,359,10% en bebidas y envíos gratis,2025-06-11
FD-00217,Emily Buckley,Bronce,2160,5% descuento en snacks,2025-08-04
FD-00218,Jennifer King,Bronce,3949,5% descuento en snacks,2025-06-18
FD-00219,Dennis Davidson,Plata,2174,10% en bebidas y envíos gratis,2025-06-21
FD-00220,Brad Schmidt,Oro,4314,15% en todo + acceso anticipado,2025-08-12
FD-00221,Megan Johnson,Bronce,2941,5% descuento en snacks,2025-08-13
FD-00222,Kelly Howard,Bronce,4149,5% descuento en snacks,2025-07-22
FD-00223,Charles Snow,Bronce,2813,5% descuento en snacks,2025-06-26
FD-00224,Haley Mills,Oro,3663,15% en todo + acceso anticipado,2025-07-06
FD-00225,Travis Allison,Bronce,4528,5% descuento en snacks,2025-08-02
FD-00226,Christopher Strickland,Plata,3432,10% en bebidas y envíos gratis,2025-05-27
FD-00227,Alexis Nichols,Plata,2033,10% en bebidas y envíos gratis,2025-08-13
FD-00228,Kathryn Ayala,Oro,1684,15% en todo + acceso anticipado,2025-06-24
FD-00229,Stephanie Marquez,Bronce,503,5% descuento en snacks,2025-06-02
FD-00230,Brian Collier III,Oro,2218,15% en todo + acceso anticipado,2025-06-17
FD-00231,Timothy Allen,Bronce,3311,5% descuento en snacks,2025-05-31
FD-00232,Frank Fowler,Bronce,247,5% descuento en snacks,2025-07-01
FD-00233,Christopher Daniel,Platino,2672,20% en todo + regalos exclusivos,2025-08-18
FD-00234,Leslie Norris,Plata,4012,10% en bebidas y envíos gratis,2025-05-31
FD-00235,Mr. James Lewis,Bronce,1776,5% descuento en snacks,2025-06-22
FD-00236,Brittany Shannon,Oro,1627,15% en todo + acceso anticipado,2025-05-26
FD-00237,Jennifer Allen,Plata,3640,10% en bebidas y envíos gratis,2025-08-08
FD-00238,Russell Porter,Bronce,2884,5% descuento en snacks,2025-06-27
FD-00239,Eric Miller,Oro,851,15% en todo + acceso anticipado,2025-08-03
FD-00240,Tara Porter,Bronce,2302,5% descuento en snacks,2025-07-26
FD-00241,Nicholas Jones,Plata,1907,10% en bebidas y envíos gratis,2025-05-28
FD-00242,Michael Pierce,Bronce,1247,5% descuento en snacks,2025-05-24
FD-00243,Carl Jenkins,Bronce,4558,5% descuento en snacks,2025-08-03
FD-00244,Andrew Holt,Bronce,2625,5% descuento en snacks,2025-07-29
FD-00245,Audrey Smith,Bronce,4928,5% descuento en snacks,2025-06-06
FD-00246,Paula Huff,Bronce,4157,5% descuento en snacks,2025-07-17
FD-00247,Calvin Graham,Plata,194,10% en bebidas y envíos gratis,2025-06-17
FD-00248,Tyler Chavez,Bronce,3407,5% descuento en snacks,2025-06-22
FD-00249,Randy Mitchell,Plata,878,10% en bebidas y envíos gratis,2025-06-01
FD-00250,Elizabeth Austin,Bronce,228,5% descuento en snacks,2025-07-26
FD-00251,Gary Diaz,Bronce,4796,5% descuento en snacks,2025-07-08
FD-00252,Joseph Jones,Oro,129,15% en todo + acceso anticipado,2025-05-30
FD-00253,Alejandro Holmes,Bronce,4038,5% descuento en snacks,2025-07-04
FD-00254,Laura Lewis,Bronce,4956,5% descuento en snacks,2025-06-23
FD-00255,Martin Porter,Plata,2842,10% en bebidas y envíos gratis,2025-07-19
FD-00256,Michael Gutierrez,Bronce,2091,5% descuento en snacks,2025-08-22
FD-00257,Thomas Grimes,Bronce,2151,5% descuento en snacks,2025-05-25
FD-00258,Michelle Griffin,Plata,4628,10% en bebidas y envíos gratis,2025-07-01
FD-00259,Donna Perkins,Bronce,1411,5% descuento en snacks,2025-05-23
FD-00260,Tim Lin,Oro,1418,15% en todo + acceso anticipado,2025-07-01
FD-00261,Mary Bishop,Bronce,4083,5% descuento en snacks,2025-08-16
FD-00262,Marissa Guerra,Oro,2282,15% en todo + acceso anticipado,2025-05-26
FD-00263,Meagan Thompson,Plata,4009,10% en bebidas y envíos gratis,2025-05-31
FD-00264,Brett Cole,Bronce,1368,5% descuento en snacks,2025-07-02
FD-00265,Charles Lewis,Bronce,3740,5% descuento en snacks,2025-08-15
FD-00266,Alicia Morgan,Bronce,4805,5% descuento en snacks,2025-05-30
FD-00267,Gavin Nelson,Bronce,2947,5% descuento en snacks,2025-06-30
FD-00268,Lance Wiggins,Plata,1368,10% en bebidas y envíos gratis,2025-08-16
FD-00269,Karen Flynn,Plata,2118,10% en bebidas y envíos gratis,2025-08-17
FD-00270,Steven Bailey,Bronce,3052,5% descuento en snacks,2025-08-21
FD-00271,Ricky Ross,Plata,2179,10% en bebidas y envíos gratis,2025-07-03
FD-00272,Ann Lewis,Bronce,4308,5% descuento en snacks,2025-07-19
FD-00273,David Hernandez,Plata,4364,10% en bebidas y envíos gratis,2025-08-13
FD-00274,Brittany Ramos,Plata,976,10% en bebidas y envíos gratis,2025-07-23
FD-00275,Tonya Gonzalez,Bronce,1000,5% descuento en snacks,2025-06-12
FD-00276,Johnny Carroll,Bronce,3809,5% descuento en snacks,2025-06-16
FD-00277,Charles Parker,Plata,4210,10% en bebidas y envíos gratis,2025-06-22
FD-00278,Daniel Hill,Oro,4291,15% en todo + acceso anticipado,2025-06-24
FD-00279,Aaron Thompson,Plata,4932,10% en bebidas y envíos gratis,2025-07-20
FD-00280,Mary Lowe,Bronce,4698,5% descuento en snacks,2025-08-05
FD-00281,Christopher Golden,Bronce,4109,5% descuento en snacks,2025-05-23
FD-00282,Timothy Davis,Plata,4094,10% en bebidas y envíos gratis,2025-06-06
FD-00283,April Gomez,Bronce,1254,5% descuento en snacks,2025-07-15
FD-00284,Leroy Taylor,Bronce,2567,5% descuento en snacks,2025-06-07
FD-00285,Daniel Mason,Bronce,123,5% descuento en snacks,2025-05-30
FD-00286,Daniel Brown,Plata,2306,10% en bebidas y envíos gratis,2025-06-09
FD-00287,Ashley Taylor,Bronce,596,5% descuento en snacks,2025-05-29
FD-00288,Gabriel Zimmerman,Plata,2091,10% en bebidas y envíos gratis,2025-07-19
FD-00289,Carmen Larson,Oro,1449,15% en todo + acceso anticipado,2025-05-24
FD-00290,Lisa Gay,Bronce,2901,5% descuento en snacks,2025-05-23
FD-00291,Brandon Garcia,Bronce,4172,5% descuento en snacks,2025-07-11
FD-00292,Danny Nicholson,Bronce,877,5% descuento en snacks,2025-07-03
FD-00293,Dr. Jared Mendez,Bronce,1283,5% descuento en snacks,2025-07-28
FD-00294,Gary Turner,Bronce,3600,5% descuento en snacks,2025-06-17
FD-00295,Crystal Mills,Bronce,2852,5% descuento en snacks,2025-07-21
FD-00296,Sherry Boyer,Bronce,1493,5% descuento en snacks,2025-08-07
FD-00297,John Smith,Plata,1817,10% en bebidas y envíos gratis,2025-07-01
FD-00298,Steven Brown,Bronce,3795,5% descuento en snacks,2025-07-09
FD-00299,Paula Gates,Bronce,2176,5% descuento en snacks,2025-06-08
FD-00300,Candice Jackson,Bronce,3451,5% descuento en snacks,2025-07-14
FD-00301,Julie Baker,Plata,3489,10% en bebidas y envíos gratis,2025-06-14
FD-00302,Alexandra Perkins,Bronce,2304,5% descuento en snacks,2025-07-20
FD-00303,Angela Garrett,Bronce,4687,5% descuento en snacks,2025-06-22
FD-00304,Daniel Barrett,Plata,290,10% en bebidas y envíos gratis,2025-07-29
FD-00305,Heidi Moore,Oro,339,15% en todo + acceso anticipado,2025-06-14
FD-00306,Caroline Thompson,Bronce,4900,5% descuento en snacks,2025-05-30
FD-00307,Michael Bennett,Plata,1881,10% en bebidas y envíos gratis,2025-06-13
FD-00308,Kendra Weber,Bronce,679,5% descuento en snacks,2025-07-06
FD-00309,Jessica Moreno,Oro,1605,15% en todo + acceso anticipado,2025-05-30
FD-00310,Michael Smith,Plata,475,10% en bebidas y envíos gratis,2025-08-15
FD-00311,Molly Sanford,Oro,1738,15% en todo + acceso anticipado,2025-06-19
FD-00312,Gregory Robinson,Plata,2901,10% en bebidas y envíos gratis,2025-05-30
FD-00313,Brenda Patterson,Platino,4807,20% en todo + regalos exclusivos,2025-06-27
FD-00314,Matthew Mcguire,Oro,4217,15% en todo + acceso anticipado,2025-06-05
FD-00315,Todd Shaw,Oro,244,15% en todo + acceso anticipado,2025-06-03
FD-00316,Mackenzie Barber,Oro,1712,15% en todo + acceso anticipado,2025-06-15
FD-00317,Kathryn Smith,Platino,1775,20% en todo + regalos exclusivos,2025-06-01
FD-00318,Andrew Morgan,Platino,196,20% en todo + regalos exclusivos,2025-08-15
FD-00319,Elizabeth Peterson,Bronce,292,5% descuento en snacks,2025-05-30
FD-00320,Michael Day,Bronce,3150,5% descuento en snacks,2025-07-26
FD-00321,Zachary Powers,Platino,2933,20% en todo + regalos exclusivos,2025-08-04
FD-00322,John Parker,Bronce,2048,5% descuento en snacks,2025-06-11
FD-00323,Kayla Anderson,Bronce,4049,5% descuento en snacks,2025-06-14
FD-00324,Autumn Hernandez,Plata,2928,10% en bebidas y envíos gratis,2025-07-03
FD-00325,Kimberly Miller,Bronce,4577,5% descuento en snacks,2025-07-16
FD-00326,Colin Thomas,Bronce,2060,5% descuento en snacks,2025-06-25
FD-00327,Cynthia Wood,Plata,744,10% en bebidas y envíos gratis,2025-07-13
FD-00328,Jeremy Meza,Bronce,2946,5% descuento en snacks,2025-06-23
FD-00329,Terrance Collins,Plata,4800,10% en bebidas y envíos gratis,2025-05-30
FD-00330,Rick Carson,Plata,4023,10% en bebidas y envíos gratis,2025-06-24
FD-00331,Ashley Fernandez,Bronce,467,5% descuento en snacks,2025-07-18
FD-00332,Jason Ruiz,Bronce,1922,5% descuento en snacks,2025-07-03
FD-00333,Antonio Moses,Oro,3334,15% en todo + acceso anticipado,2025-05-28
FD-00334,Martin Morgan,Bronce,4008,5% descuento en snacks,2025-07-18
FD-00335,Patricia Thomas,Bronce,1266,5% descuento en snacks,2025-08-10
FD-00336,Richard Perez,Bronce,2597,5% descuento en snacks,2025-07-11
FD-00337,Dominic Anderson,Plata,4133,10% en bebidas y envíos gratis,2025-06-16
FD-00338,Sarah Harvey,Plata,4789,10% en bebidas y envíos gratis,2025-08-04
FD-00339,Charles Pennington,Bronce,3580,5% descuento en snacks,2025-07-25
