reseña_id,venta_id,client_id,puntuacion,comentario,fecha_reseña
RS-00045,C-004511,Dawn Reyes,4,Volveré a comprar sin duda.,2025-08-03
RS-00046,C-002349,Misty Garcia,4,Tuve problemas con la entrega.,2025-08-10
RS-00047,C-003209,Scott Kidd,4,No era lo que esperaba.,2025-06-03
RS-00048,C-001696,Benjamin Smith,5,"Muy buen producto, llegó rápido.",2025-08-08
RS-00049,C-002844,Tina Horne,4,Excelente atención al cliente.,2025-07-09
RS-00050,C-000778,Ronald Martinez,3,El embalaje estaba dañado.,2025-07-28
RS-00051,C-000518,William Martin,5,Tuve problemas con la entrega.,2025-07-08
RS-00052,C-003245,Donald Knapp,4,"Todo perfecto, gracias.",2025-07-24
RS-00053,C-000209,Isabella Kaiser PhD,5,"Todo perfecto, gracias.",2025-07-29
RS-00054,C-004836,Shelby Mckenzie,5,"Todo perfecto, gracias.",2025-08-05
RS-00055,C-004544,Jasmine Knapp,3,Tuve problemas con la entrega.,2025-08-11
RS-00056,C-001306,David Caldwell,5,El embalaje estaba dañado.,2025-08-09
RS-00057,C-004605,Joshua Hardy,4,Tuve problemas con la entrega.,2025-08-13
RS-00058,C-003501,Ellen Campbell,3,La talla no era correcta.,2025-07-13
RS-00059,C-001516,Jose Patel,3,"Muy buen producto, llegó rápido.",2025-07-31
RS-00060,C-002329,Hannah Hernandez,5,Excelente atención al cliente.,2025-08-18
RS-00061,C-001821,Noah Miller,4,"Me encantó, lo recomiendo.",2025-06-20
RS-00062,C-004276,Sabrina Logan,5,"Muy buen producto, llegó rápido.",2025-07-31
RS-00063,C-004638,Gary Olson,4,El embalaje estaba dañado.,2025-07-13
RS-00064,C-003804,Dr. Tonya Mckinney,3,La talla no era correcta.,2025-07-17
RS-00065,C-000416,James Wright,5,Precio justo y buena calidad.,2025-07-31
RS-00066,C-000577,Sheri Lane,5,No era lo que esperaba.,2025-07-23
RS-00067,C-003299,Jeremy Nicholson,5,No era lo que esperaba.,2025-08-05
RS-00068,C-004213,Kendra Davis,5,Volveré a comprar sin duda.,2025-08-18
RS-00069,C-004083,Charles Mitchell,4,No era lo que esperaba.,2025-07-20
RS-00070,C-003439,Krista Nash,5,Excelente atención al cliente.,2025-07-16
RS-00071,C-003009,Daniel Mccarty,4,Volveré a comprar sin duda.,2025-08-11
RS-00072,C-004040,Lori Rogers,5,"Muy buen producto, llegó rápido.",2025-06-24
RS-00073,C-004303,Carla Olson,3,Excelente atención al cliente.,2025-07-05
RS-00074,C-000619,Joseph Santos,3,"Muy buen producto, llegó rápido.",2025-06-16
RS-00075,C-001724,Katherine James,3,"Muy buen producto, llegó rápido.",2025-08-21
RS-00076,C-000839,Jennifer Berg,2,No era lo que esperaba.,2025-06-23
RS-00077,C-002356,Bradley Valdez,5,Tuve problemas con la entrega.,2025-08-14
RS-00078,C-001566,Michael Grant,4,Volveré a comprar sin duda.,2025-08-21
RS-00079,C-001527,Pamela Crawford,4,No era lo que esperaba.,2025-08-09
RS-00080,C-003390,Laura Hernandez,4,"Muy buen producto, llegó rápido.",2025-07-31
RS-00081,C-002679,Amanda Rios,4,Tuve problemas con la entrega.,2025-06-07
RS-00082,C-000076,Matthew Taylor,2,Excelente atención al cliente.,2025-08-20
RS-00083,C-002408,Tonya Doyle,4,"Muy buen producto, llegó rápido.",2025-08-12
RS-00084,C-004329,Benjamin Clark,1,El embalaje estaba dañado.,2025-08-14
RS-00085,C-001338,Felicia Johnson,5,"Todo perfecto, gracias.",2025-08-11
RS-00086,C-003221,Chad Mccarthy,5,"Todo perfecto, gracias.",2025-08-18
RS-00087,C-000826,Morgan Cox,4,No era lo que esperaba.,2025-06-29
RS-00088,C-000605,Nicole Holmes,5,No era lo que esperaba.,2025-08-18
RS-00089,C-003581,Ashley Riley,5,No era lo que esperaba.,2025-08-08
RS-00090,C-002796,Douglas Mcintosh,4,Excelente atención al cliente.,2025-08-18
RS-00091,C-004541,Alejandra Sutton,3,Volveré a comprar sin duda.,2025-06-23
RS-00092,C-002208,Ryan Grant,5,El embalaje estaba dañado.,2025-08-22
RS-00093,C-001529,Ethan Griffin,5,Precio justo y buena calidad.,2025-08-15
RS-00094,C-000034,Michelle Kim,5,"Todo perfecto, gracias.",2025-08-18
RS-00095,C-001238,Michael Clark,2,"Todo perfecto, gracias.",2025-08-22
RS-00096,C-003159,Kaitlin Matthews,2,Excelente atención al cliente.,2025-07-20
RS-00097,C-004858,Sharon Brooks,4,Volveré a comprar sin duda.,2025-08-13
RS-00098,C-004383,Brent Berry,5,"Me encantó, lo recomiendo.",2025-07-16
RS-00099,C-004707,Andrew Garcia,2,Tuve problemas con la entrega.,2025-08-09
RS-00100,C-003871,Lori Miller,4,Precio justo y buena calidad.,2025-07-21
