client_id,nombre,email,telefono,genero,fecha_registro,registro_valido,motivo_descarte
CL-10128,Elisabet Reina Franco Menendez,,6744642640637,Masculino,2023-11-01,False,Email inválido
CL-10131,,@gmail.com,34956621820,Femenino,2024-07-30,False,Email inválido
CL-00424,Anita Camps,felipa31@example.org,1535797807363,No especificado,2025-02-02,False,Género inválido
CL-00430,Elba Cobo,,2480843584319,Femenino,2024-04-01,False,Email inválido
CL-00432,Jesusa Amaya Iborra,espanarosa-maria@example.org,,Femenino,2025-05-15,False,"Teléfono inválido, Teléfono ausente"
CL-10136,Nazaret Briones-Tomé,correo@.com,8627988455741,Masculino,2025-08-17,False,Email inválido
CL-00444,Pedro Luque Herrera,ximenapaez@example.org,,Masculino,2024-02-02,False,"Teléfono inválido, Teléfono ausente"
CL-00450,,@gmail.com,1374354063716,Femenino,2025-01-27,False,Email inválido
CL-00456,Ignacia Valenciano-Tomás,prudencio81@example.net,,No especificado,2024-12-15,False,"Teléfono inválido, Género inválido, Teléfono ausente"
CL-10141,Nicodemo Antúnez Balaguer,@gmail.com,2535116380844,Femenino,2024-11-06,False,Email inválido
CL-00464,Áurea Montero Sobrino,egalan@example.com,9703714487407,No especificado,2024-11-21,False,Género inválido
CL-00470,Seve Pascual Ponce,correo@.com,3970459390967,Femenino,2024-12-31,False,Email inválido
CL-10148,María Manuela Gascón Alegria,correo@.com,,No especificado,2023-08-26,False,"Email inválido, Teléfono inválido, Género inválido, Teléfono ausente"
CL-00492,Abigaíl Mayte Tejera Aller,mosqueraanabel@example.com,,Masculino,2024-02-20,False,"Teléfono inválido, Teléfono ausente"
CL-10155,Melisa del Acevedo,africa94@example.org,9430253927558,No especificado,2023-11-19,False,Género inválido
CL-00500,Manu de Martorell,correo@.com,5809427219099,Masculino,2025-01-15,False,Email inválido
CL-00504,Zaida del Navarro,narcisapuig@example.org,,No especificado,2026-01-01,False,"Teléfono inválido, Género inválido, Teléfono ausente"
CL-10158,123,@gmail.com,7793917829370,Femenino,2025-02-03,False,Email inválido
CL-10159,Dora Iñiguez Almeida,balaguerjulian@example.org,0429216366171,No especificado,2025-07-28,False,Género inválido
CL-00516,Amparo Hervia Alegria,coelloblas@example.com,,Femenino,2023-09-12,False,"Teléfono inválido, Teléfono ausente"
CL-10162,Eufemia del Diego,torrecillabelen@example.net,3358251578719,No especificado,2025-03-21,False,Género inválido
CL-00528,Martín Viña Galan,yalegre@example.org,34985812366,No especificado,2024-03-13,False,Género inválido
CL-10163,Olimpia Pérez Araujo,correo@.com,2028005377492,Femenino,2024-06-22,False,Email inválido
CL-10168,123,rosamagdalena@example.org,,Masculino,2000-01-01,False,"Teléfono inválido, Teléfono ausente"
CL-10169,Olalla Solano Rosselló,ricardaarjona@example.com,8035579529314,No especificado,2025-04-26,False,Género inválido
CL-00550,Manuelita Gisbert Bonilla,@gmail.com,8507508692796,Femenino,2025-02-14,False,Email inválido
CL-00552,Iván Jerez Almagro,tristanmacias@example.org,,Femenino,2023-11-02,False,"Teléfono inválido, Teléfono ausente"
CL-00564,Susanita Gonzalez Carretero,manuelvirgilio@example.com,,Femenino,2024-06-05,False,"Teléfono inválido, Teléfono ausente"
CL-10174,,correo@.com,2988032664057,Femenino,2025-07-28,False,Email inválido
CL-00576,Rolando Guzman Paniagua,canterojennifer@example.net,,No especificado,2026-01-01,False,"Teléfono inválido, Género inválido, Teléfono ausente"
CL-00580,Evelia Calatayud Martí,,7699135863131,Femenino,2024-09-01,False,Email inválido
CL-00590,Adán Lucio Reguera Hernández,correo@.com,4245374861118,Masculino,2025-01-30,False,Email inválido
CL-10181,Evelia Mercader Urrutia,fabricio81@example.net,1876361394841,No especificado,2025-07-05,False,Género inválido
CL-10184,,,34828012311,Femenino,2023-10-07,False,Email inválido
CL-10186,Aarón Juan Bautista Cabello Sanmiguel,casesgeraldo@example.org,5596456135994,No especificado,2025-05-06,False,Género inválido
CL-00610,Severino Maldonado Canals,correo@.com,8999021908114,Masculino,2024-10-05,False,Email inválido
CL-00612,Desiderio Moreno Cañizares,prudencia30@example.com,,Femenino,2000-01-01,False,"Teléfono inválido, Teléfono ausente"
CL-00616,Victor Aparicio Quintana,atilio41@example.org,3892670781934,No especificado,2024-03-24,False,Género inválido
CL-10190,Claudia Ponce Valenciano,,8647505572095,Masculino,2023-10-19,False,Email inválido
CL-00624,Jenaro Noriega-Sebastián,gervasioalfonso@example.net,,No especificado,2025-06-29,False,"Teléfono inválido, Género inválido, Teléfono ausente"
CL-00630,,,9905435034830,Femenino,2026-01-01,False,Email inválido
CL-10196,Santiago Amancio Fuente Rosa,ocanton@example.net,,Femenino,2024-09-02,False,"Teléfono inválido, Teléfono ausente"
CL-10198,Jenny Campillo-Lladó,@gmail.com,5907309897191,No especificado,2023-12-17,False,"Email inválido, Género inválido"
CL-00648,Eusebia Camacho Acevedo,operal@example.com,34920302529,No especificado,2026-01-01,False,Género inválido
CL-00650,Amelia Busquets Andrés,,4980033981442,Femenino,2024-10-05,False,Email inválido
CL-10205,123,correo@.com,,Femenino,2025-04-12,False,"Email inválido, Teléfono inválido, Teléfono ausente"
CL-00670,Wálter Hernán Martin Cerezo,correo@.com,6198643875866,Femenino,2024-01-19,False,Email inválido
CL-00672,Melisa Polo Cuervo,erebollo@example.com,,Masculino,2025-02-20,False,"Teléfono inválido, Teléfono ausente"
CL-10210,Daniel Piñeiro,correo@.com,7383978658202,No especificado,2024-03-10,False,"Email inválido, Género inválido"
CL-10213,Bibiana de Vizcaíno,jose-ignacio51@example.com,0626779860414,No especificado,2025-08-24,False,Género inválido
CL-00690,123,,2756578139914,Femenino,2024-10-21,False,Email inválido
CL-00696,Amador Morata Carmona,bermudezrogelio@example.org,,No especificado,2025-04-17,False,"Teléfono inválido, Género inválido, Teléfono ausente"
CL-00700,Benito Lastra Otero,,6985040560469,Femenino,2024-11-09,False,Email inválido
CL-00708,Tecla Mir Ureña,tmontserrat@example.org,,Femenino,2024-04-08,False,"Teléfono inválido, Teléfono ausente"
CL-10220,Ámbar de Rodriguez,correo@.com,7915154569741,Femenino,2024-05-07,False,Email inválido
CL-00712,Elpidio Santiago Osorio,espanolroxana@example.com,4800256145174,No especificado,2025-07-10,False,Género inválido
CL-10223,123,@gmail.com,34920690404,No especificado,2026-01-01,False,"Email inválido, Género inválido"
CL-00728,Asdrubal Mateo Sanmartín,cuestaadrian@example.com,2233122782539,No especificado,2024-06-04,False,Género inválido
CL-00730,Diana Casanova-Lasa,,1463811705152,Masculino,2024-10-28,False,Email inválido
CL-00736,Jordana Tapia Leon,nmanrique@example.org,8889195046363,No especificado,2023-11-02,False,Género inválido
CL-10230,Felicidad Borrás Lamas,correo@.com,0078253913823,Femenino,2024-03-05,False,Email inválido
CL-10236,,,5689863791119,Masculino,2024-06-25,False,Email inválido
CL-10238,Gerónimo Madrid,reynaolmedo@example.net,2752450937473,No especificado,2024-09-27,False,Género inválido
CL-00756,Gabino Riquelme,jpenas@example.net,,Masculino,2024-03-18,False,"Teléfono inválido, Teléfono ausente"
CL-00768,Domingo Millán Malo,plinio21@example.com,,No especificado,2025-04-01,False,"Teléfono inválido, Género inválido, Teléfono ausente"
CL-00770,Guillermo Castro Reyes,,4021798361978,Masculino,2025-03-15,False,Email inválido
CL-00776,Melania Pablo Bernal,vasco14@example.org,7186541142428,No especificado,2024-04-15,False,Género inválido
CL-00780,123,@gmail.com,,Femenino,2024-08-12,False,"Email inválido, Teléfono inválido, Teléfono ausente"
CL-00784,Íngrid Daza Carranza,brunocastrillo@example.com,4904329283361,No especificado,2025-02-21,False,Género inválido
CL-00792,Dani Casal Galán,dduenas@example.com,,No especificado,2000-01-01,False,"Teléfono inválido, Género inválido, Teléfono ausente"
CL-10253,Pilar Anguita,,1985466736710,Femenino,2025-02-15,False,Email inválido
CL-00816,Reyes Rius Morillo,zluis@example.org,,Femenino,2024-10-11,False,"Teléfono inválido, Teléfono ausente"
CL-10258,Martirio Ofelia Simó Lopez,,0594704261674,Masculino,2023-08-30,False,Email inválido
CL-00824,Heliodoro Gonzalo Recio Mariscal,chus59@example.com,2845010821469,No especificado,2024-06-22,False,Género inválido
CL-10263,Fulgencio de Castells,@gmail.com,8886196098614,Masculino,2024-09-03,False,Email inválido
CL-10265,Esperanza Flora Cabrero Luque,lujanmohamed@example.org,6816621146653,No especificado,2024-04-06,False,Género inválido
CL-10268,123,correo@.com,,No especificado,2025-04-07,False,"Email inválido, Teléfono inválido, Género inválido, Teléfono ausente"
CL-00848,Severino Luz-Oliver,marcianofeijoo@example.com,1555118598394,No especificado,2023-11-04,False,Género inválido
CL-00850,Haydée Querol Márquez,,3654820439329,Masculino,2024-09-18,False,Email inválido
CL-10271,Emperatriz Elba Cruz Pulido,chigueras@example.com,,Femenino,2024-07-25,False,"Teléfono inválido, Teléfono ausente"
CL-00856,Fernando Matas-Ureña,ana36@example.net,6921416253582,No especificado,2025-08-03,False,Género inválido
CL-00860,Eugenia Carrión Jordá,correo@.com,5803975841486,Femenino,2024-01-04,False,Email inválido
CL-00864,Yéssica del Montero,sevillanonicolasa@example.com,,Femenino,2000-01-01,False,"Teléfono inválido, Teléfono ausente"
CL-00870,,@gmail.com,6824230508923,Femenino,2024-11-17,False,Email inválido
CL-10279,Elvira del Terrón,gotero@example.com,,Femenino,2025-08-24,False,"Teléfono inválido, Teléfono ausente"
CL-10280,Paz Vázquez Coca,,6550187555078,Masculino,2023-11-01,False,Email inválido
CL-10283,Vicente Abril-Aguilar,francisco-jose90@example.org,,No especificado,2024-03-05,False,"Teléfono inválido, Género inválido, Teléfono ausente"
CL-00890,Adelina Rius,correo@.com,9292850504831,Masculino,2025-03-01,False,Email inválido
CL-10284,Nidia Talavera Coloma,zbautista@example.net,1751314262532,No especificado,2024-03-13,False,Género inválido
CL-10286,,,,Masculino,2024-06-09,False,"Email inválido, Teléfono inválido, Teléfono ausente"
CL-00910,Sandalio Crespo Egea,,0320173361033,Femenino,2024-03-16,False,Email inválido
CL-00912,Noa Velázquez Avilés,pili78@example.net,,No especificado,2024-06-20,False,"Teléfono inválido, Género inválido, Teléfono ausente"
CL-10291,Marino Sierra Benavent,,4315808315066,No especificado,2024-01-15,False,"Email inválido, Género inválido"
CL-00924,Sabina Saldaña Almeida,quinterocristian@example.net,,Femenino,2024-08-03,False,"Teléfono inválido, Teléfono ausente"
CL-00930,123,,0083375410011,Femenino,2024-09-23,False,Email inválido
CL-00936,Florencia de Álamo,vcabezas@example.com,34848036544,No especificado,2023-11-22,False,Género inválido
CL-10297,Jacinta Báez-Alemán,,9306427133390,Masculino,2025-06-09,False,Email inválido
CL-10302,Ana Sofía Leon Borrego,roxana33@example.org,,Femenino,2024-07-21,False,"Teléfono inválido, Teléfono ausente"
CL-00950,Sebastian Morell Jaén,correo@.com,6396035292119,Masculino,2024-09-27,False,Email inválido
CL-10303,Antonio Arellano Guerra,climacojordan@example.org,6126437492321,No especificado,2024-01-01,False,Género inválido
CL-10305,123,correo@.com,34975353764,No especificado,2024-08-29,False,"Email inválido, Género inválido"
CL-00970,Eugenia Feijoo Franco,,9171556028405,Femenino,2024-12-12,False,Email inválido
CL-10309,Sara Salinas Coll,tamayoalma@example.org,2131557498603,No especificado,2023-12-16,False,Género inválido
CL-10310,Ramón Cases Arregui,,6670895812760,Femenino,2023-10-24,False,Email inválido
CL-00990,123,@gmail.com,6946001149503,Femenino,2026-01-01,False,Email inválido
CL-10314,Víctor Valle Iñiguez,brigida34@example.org,8350656440631,No especificado,2024-05-26,False,Género inválido
CL-00996,Nidia del Girona,landairis@example.org,,Masculino,2024-06-05,False,"Teléfono inválido, Teléfono ausente"
CL-01000,Azeneth del Olmedo,,9798999477180,No especificado,2024-12-13,False,"Email inválido, Género inválido"
CL-01008,Mateo Rivas Sedano,mercaderernesto@example.net,34846927139,No especificado,2000-01-01,False,Género inválido
CL-10321,Gabino Morán Alcalá,@gmail.com,7040299150091,Femenino,2024-12-06,False,Email inválido
CL-10325,,@gmail.com,,Femenino,2024-12-22,False,"Email inválido, Teléfono inválido, Teléfono ausente"
CL-01024,Blanca Coello Villalba,galanmarco@example.org,8022573648889,No especificado,2023-10-01,False,Género inválido
CL-01030,Amado Carrasco,@gmail.com,6009496174907,Femenino,2024-05-11,False,Email inválido
CL-01032,Graciana Gallego-Solano,dhoyos@example.net,,Femenino,2024-05-04,False,"Teléfono inválido, Teléfono ausente"
CL-10334,Emperatriz Gomis Benítez,ribasrosario@example.net,,Masculino,2024-07-25,False,"Teléfono inválido, Teléfono ausente"
CL-01048,Francisco Javier Espiridión Amores Calvo,rcalvo@example.com,1321491372573,No especificado,2024-01-30,False,Género inválido
CL-10335,123,@gmail.com,5703370952524,Femenino,2024-12-03,False,Email inválido
CL-01056,Jose Antonio Duran Macías,catalina17@example.com,,No especificado,2023-09-05,False,"Teléfono inválido, Género inválido, Teléfono ausente"
CL-01060,Elisabet Alberto Arellano,@gmail.com,8198662522253,Masculino,2024-08-29,False,Email inválido
CL-10337,Elisabet Riera-Rico,concha46@example.net,5560923351922,No especificado,2023-11-23,False,Género inválido
CL-10338,Palmira Rodriguez-Escribano,loida95@example.com,,Masculino,2024-07-10,False,"Teléfono inválido, Teléfono ausente"
CL-01072,Andrea Torrens Corominas,drodenas@example.net,4585134003559,No especificado,2025-05-06,False,Género inválido
CL-10342,,,,No especificado,2026-01-01,False,"Email inválido, Teléfono inválido, Género inválido, Teléfono ausente"
CL-01088,Eva María Otero Villalba,jguitart@example.org,2090684884357,No especificado,2024-09-06,False,Género inválido
CL-10346,Nélida Perla Sabater Becerra,@gmail.com,6570904424483,Femenino,2024-10-19,False,Email inválido
CL-01092,Dulce Vilaplana Llopis,aramos@example.com,,Masculino,2024-04-21,False,"Teléfono inválido, Teléfono ausente"
CL-01096,Gracia Villegas Navarro,fermingarces@example.net,2949780751724,No especificado,2024-11-11,False,Género inválido
CL-10348,Leoncio Domingo Zabaleta,correo@.com,8209094899107,Femenino,2025-05-30,False,Email inválido
CL-01104,Edgardo Verdugo Maza,jmari@example.net,34926125387,No especificado,2024-09-10,False,Género inválido
CL-10352,Geraldo Luque,,5236607321368,Femenino,2025-05-23,False,Email inválido
CL-01116,Isabel Otero Luque,ema42@example.org,,Masculino,2000-01-01,False,"Teléfono inválido, Teléfono ausente"
CL-10356,Aristides Jose Ignacio Mayoral Jerez,,9926661679992,Femenino,2025-06-18,False,Email inválido
CL-10357,Gabino Guardia Navas,nromero@example.org,,No especificado,2023-09-25,False,"Teléfono inválido, Género inválido, Teléfono ausente"
CL-10358,Primitivo Toro Amor,@gmail.com,3045010635688,Masculino,2024-11-06,False,Email inválido
CL-01136,Pascual Seguí Melero,sebastiangomez@example.com,2739677502028,No especificado,2024-05-08,False,Género inválido
CL-01144,Baudelio Fábregas Blázquez,bonifaciomesa@example.com,2210314504168,No especificado,2024-09-24,False,Género inválido
CL-10366,Jaime Camilo Castell Franco,@gmail.com,3492862247595,Masculino,2025-06-25,False,Email inválido
CL-10367,Ciríaco Arrieta Diez,tenafelisa@example.net,,Femenino,2026-01-01,False,"Teléfono inválido, Teléfono ausente"
CL-10374,Nerea Elías,murrutia@example.org,,Femenino,2025-02-27,False,"Teléfono inválido, Teléfono ausente"
CL-01170,123,@gmail.com,3120770264799,Masculino,2000-01-01,False,Email inválido
CL-01176,Maricruz Agustí Ortiz,ramiro09@example.com,,Masculino,2024-05-03,False,"Teléfono inválido, Teléfono ausente"
CL-01180,Paca de Paz,correo@.com,3382129467681,Femenino,2023-10-16,False,Email inválido
CL-01188,Bernarda Anunciación Blazquez Cánovas,kcabanas@example.org,,Femenino,2023-09-06,False,"Teléfono inválido, Teléfono ausente"
CL-01190,Encarnacion Arana-Larrañaga,@gmail.com,7883002702703,Masculino,2024-10-25,False,Email inválido
CL-10381,Cruz Castro Somoza,juan-carlos44@example.com,8894797476791,No especificado,2023-11-29,False,Género inválido
CL-10386,,@gmail.com,,No especificado,2024-02-14,False,"Email inválido, Teléfono inválido, Género inválido, Teléfono ausente"
CL-10389,Judith de Serna,craya@example.org,3229343622365,No especificado,2023-10-09,False,Género inválido
CL-01210,Américo Tomé Luque,correo@.com,5693321581169,Masculino,2023-11-29,False,Email inválido
CL-01212,Anita Sobrino Sola,edulopez@example.org,,Femenino,2023-09-12,False,"Teléfono inválido, Teléfono ausente"
CL-10394,Chita Noriega Barros,,1588630674892,Masculino,2024-09-19,False,Email inválido
CL-01224,Pánfilo Morera Vendrell,igamez@example.com,,No especificado,2023-11-10,False,"Teléfono inválido, Género inválido, Teléfono ausente"
CL-10395,123,,4276019881379,Femenino,2025-03-01,False,Email inválido
CL-01232,Josefa Marisol Quiroga Alfonso,amaro67@example.org,0114316060910,No especificado,2023-12-10,False,Género inválido
CL-01236,Montserrat Sánchez Ballester,acevedoemelina@example.com,,Femenino,2025-04-21,False,"Teléfono inválido, Teléfono ausente"
CL-01240,Máximo Samper Villanueva,,7601731763746,No especificado,2025-05-04,False,"Email inválido, Género inválido"
CL-01248,Malena Losa,maximiliano00@example.org,,No especificado,2024-03-29,False,"Teléfono inválido, Género inválido, Teléfono ausente"
CL-01250,Josep Cervantes Palomino,,9838995467507,Masculino,2024-06-27,False,Email inválido
CL-10403,Narcisa Bartolomé Anaya,casadofeliciana@example.com,1737293761342,No especificado,2024-10-23,False,Género inválido
CL-01260,123,@gmail.com,,Masculino,2025-02-01,False,"Email inválido, Teléfono inválido, Teléfono ausente"
CL-10408,Emilia Solera Chamorro,@gmail.com,5382035363706,Femenino,2025-02-05,False,Email inválido
CL-10409,Vidal Vives,felix13@example.com,,Masculino,2024-04-21,False,"Teléfono inválido, Teléfono ausente"
CL-10412,Estrella del Macias,,3102124510092,No especificado,2023-10-27,False,"Email inválido, Género inválido"
CL-01284,Georgina Amalia Paz Tudela,melania84@example.com,,Femenino,2024-08-22,False,"Teléfono inválido, Teléfono ausente"
CL-01296,Purificación de Guerrero,tpatino@example.com,,Femenino,2000-01-01,False,"Teléfono inválido, Teléfono ausente"
CL-10419,Maura Ojeda Lozano,@gmail.com,1290739622221,Masculino,2023-10-21,False,Email inválido
CL-10422,Leocadio Fábregas,felisa90@example.org,,Femenino,2023-12-04,False,"Teléfono inválido, Teléfono ausente"
CL-10425,Charo Gual Vizcaíno,lvidal@example.com,5042491309762,No especificado,2025-05-21,False,Género inválido
CL-10428,@Oliver,correo@.com,,No especificado,2023-10-13,False,"Email inválido, Teléfono inválido, Género inválido, Teléfono ausente"
CL-01330,Carina Frías Duran,@gmail.com,7292829017286,Femenino,2023-09-20,False,Email inválido
CL-10432,Mohamed Escudero,sedanoemiliano@example.org,5677665796904,No especificado,2023-10-24,False,Género inválido
CL-10435,Alejandra Escolano Mayo,correo@.com,0512718806858,Femenino,2023-10-13,False,Email inválido
CL-10436,Cintia Alonso Ríos,llanofrancisco-javier@example.net,,Femenino,2024-04-21,False,"Teléfono inválido, Teléfono ausente"
CL-01356,Micaela Duque Hidalgo,santiago68@example.org,,Femenino,2023-09-08,False,"Teléfono inválido, Teléfono ausente"
CL-01360,Dalila Ponce López,,7158979857251,No especificado,2023-11-10,False,"Email inválido, Género inválido"
CL-01368,Carmina Ochoa Hoyos,irenecarballo@example.org,,No especificado,2026-01-01,False,"Teléfono inválido, Género inválido, Teléfono ausente"
CL-10447,Pedro Sanchez Carpio,eric56@example.org,5691676628030,No especificado,2024-08-14,False,Género inválido
CL-10448,,@gmail.com,,Masculino,2024-10-23,False,"Email inválido, Teléfono inválido, Teléfono ausente"
CL-10451,Eustaquio Milla Becerra,salinasagata@example.net,0254571132938,No especificado,2024-10-14,False,Género inválido
CL-01390,Augusto Calderon,@gmail.com,2113434382096,Masculino,2024-04-16,False,Email inválido
CL-10453,Odalys Castillo Palomo,ctur@example.com,,Masculino,2025-06-08,False,"Teléfono inválido, Teléfono ausente"
