client_id,nombre,email,telefono,genero,fecha_registro,registro_valido
CL-00081,Teófilo Vazquez Cueto,xfuente@example.com,4137360352574,Masculino,2023-09-02,True
CL-10021,Íngrid Cardona Camino,sotelobegona@example.com,1816471544860,Masculino,2024-09-18,True
CL-00083,Vinicio Aramburu-Valera,sancho65@example.net,6835982803223,Masculino,2025-04-04,True
CL-00085,Sancho Alcolea Arrieta,maria-josetorrijos@example.com,4432543212801,Femenino,2025-03-13,True
CL-00086,Débora Márquez-Castell,salazarosvaldo@example.org,4938089593811,Masculino,2023-09-19,True
CL-00087,Leandra Rico,lobohumberto@example.net,1358844962163,Masculino,2024-03-19,True
CL-00089,Mauricio Andrade Manuel,enriquelarranaga@example.org,9190067155128,Masculino,2024-05-10,True
CL-10022,Emilio García Luque,vicente63@example.org,6642731459397,Masculino,2025-01-20,True
CL-00092,Apolinar Toni Duran Quintanilla,nerea09@example.org,5070734073973,Femenino,2024-05-11,True
CL-00093,Balduino Solsona-Camacho,rierasaturnino@example.org,3476880759146,Femenino,2024-10-22,True
CL-10023,Josep del Paz,herediacecilia@example.org,2309093031494,Masculino,2024-01-15,True
CL-00095,Bernardino Gutiérrez Carpio,orozcomicaela@example.net,8178398783834,Femenino,2023-10-25,True
CL-10024,Candela Fortuny Feijoo,raimundoposada@example.org,8785045619984,Masculino,2023-08-31,True
CL-00098,Evangelina Huerta Gutiérrez,ugarzon@example.org,5189965991854,Masculino,2023-11-13,True
CL-00099,Ciro Royo,severinocoloma@example.com,7059924607407,Femenino,2024-04-27,True
CL-10026,Paula Tudela Bartolomé,jmorell@example.net,4882345582143,Masculino,2023-10-19,True
CL-10027,Juan Manuel Dueñas Palomo,durandafne@example.org,9066309169169,Masculino,2024-06-05,True
CL-00103,Jorge Santos Hervia,penasluis@example.net,5022096527140,Masculino,2024-02-01,True
CL-10028,,lourdesllabres@example.net,9237977013627,Femenino,2025-04-05,True
CL-00106,Edelmira Luciana Sacristán Farré,emigdio57@example.net,1369839766172,Femenino,2024-12-31,True
CL-00107,Ainoa del Pardo,pazospaulina@example.net,4299965135973,Femenino,2025-06-12,True
CL-00109,Amalia del Zabala,acortes@example.net,1488230798351,Masculino,2024-03-16,True
CL-00110,Reyes Pera,iposada@example.org,7118543441964,Masculino,2025-07-14,True
CL-10029,Nicodemo Falcón-Pla,roblessusanita@example.com,7763343795378,Masculino,2023-11-09,True
CL-10030,Ramón Huertas,ferrerobenita@example.net,2778806171105,Femenino,2024-02-24,True
CL-00114,Carmela Álamo Huguet,heriberto44@example.com,4232970166293,Masculino,2024-09-02,True
CL-00115,Florentino Alvarado Corominas,maximino50@example.net,1231122620314,Femenino,2024-04-20,True
CL-00116,Dafne Pou Exposito,friasvito@example.org,1809886946031,Femenino,2024-06-15,True
CL-00117,Cristian Gutierrez Moliner,amigoheraclio@example.org,3928427616752,Masculino,2024-02-03,True
CL-00118,Isidro del Ariza,milagroschico@example.org,0837634863129,Femenino,2025-07-13,True
CL-00119,Leandra Hernández Sanz,quiquepinol@example.net,7316237170743,Masculino,2023-12-25,True
CL-00121,Teodora Roman-Mir,eloisa27@example.com,9111191081020,Masculino,2024-10-11,True
CL-00122,Pili Marco Urrutia,millanjavier@example.net,5033795728614,Femenino,2024-01-23,True
CL-00123,Zoraida Boada García,guadalupedalmau@example.org,6878780948288,Masculino,2024-01-07,True
CL-10032,Nilo Lluch Palmer,mespinosa@example.org,0502479946846,Masculino,2024-06-09,True
CL-00125,Carlota Agustí Iglesia,marregui@example.net,3614956223289,Femenino,2024-05-11,True
CL-00126,Sofía Feijoo Mayo,cecilioespanol@example.com,9510513630169,Femenino,2000-01-01,True
CL-00127,Lisandro Leal Hierro,vguillen@example.net,2403909452954,Masculino,2023-12-04,True
CL-00129,Marcia Marisa Chamorro Lluch,anastasio52@example.com,2170963602654,Masculino,2025-05-11,True
CL-00131,Román Trillo Santos,edmundocastrillo@example.net,4396356283095,Masculino,2024-09-28,True
CL-00133,Reynaldo Casanovas Martí,eusebiabadia@example.net,6639661296149,Masculino,2024-10-22,True
CL-10033,Anabel Ferrándiz Expósito,salomonsalmeron@example.com,4195210496229,Femenino,2025-07-23,True
CL-00135,Reyna Aragón Valencia,anabel50@example.org,3635778325288,Masculino,2023-09-10,True
CL-00136,Edu Franch,oarmengol@example.com,3210223028561,Masculino,2023-10-07,True
CL-00137,Elena de Cabrero,jmontenegro@example.org,6350137408223,Masculino,2024-12-13,True
CL-00138,Lázaro del Almagro,corderonilda@example.net,0986992116759,Masculino,2023-10-24,True
CL-00139,Sandalio Sureda Guitart,avilamaximino@example.net,1534456525918,Masculino,2025-01-29,True
CL-00141,José Vélez Anguita,juana31@example.com,2398171610057,Masculino,2023-10-16,True
CL-00142,Diego Canales,jose-angel34@example.com,5468635986868,Masculino,2025-07-20,True
CL-00143,Cándida Marco Herrero,olimpia23@example.com,9352213650703,Masculino,2025-03-29,True
CL-00145,Fabricio Serna Lumbreras,agapito84@example.net,6159000276579,Masculino,2025-01-08,True
CL-00146,Lola del Cáceres,ambarguzman@example.net,7994391422571,Masculino,2024-10-06,True
CL-00147,Trinidad Saura-Gonzalo,zabalaalondra@example.com,8918968899980,Femenino,2024-03-08,True
CL-00148,Josefina del Aranda,calvetalberto@example.org,4327656484041,Femenino,2023-11-20,True
CL-00149,Cristina Machado Vallejo,tovarcornelio@example.com,1207894551639,Femenino,2023-10-29,True
CL-10034,Brunilda Pineda Galvez,jafet66@example.net,3570355150619,Femenino,2024-11-05,True
CL-00153,Jose Francisco Falcón Peiró,serafinagranados@example.org,9001519048141,Masculino,2023-11-06,True
CL-00154,Julia Estévez Escobar,sancho87@example.com,1530097297321,Masculino,2025-06-26,True
CL-00155,Noelia Ballester,enrique34@example.net,9924722079580,Femenino,2023-10-08,True
CL-00157,Purificación Cózar Girona,fabianbarrios@example.net,2203664554269,Masculino,2024-04-27,True
CL-00158,Paco Vidal Donaire,adrianasalmeron@example.net,2258453152588,Masculino,2025-05-13,True
CL-00159,Visitación Roxana Jover Salamanca,wescriva@example.org,5821787664680,Femenino,2024-01-28,True
CL-00161,Tatiana Marina Hurtado Sanchez,lucilasaez@example.com,1104492530304,Masculino,2023-11-14,True
CL-10037,Aureliano Diéguez,ygalvan@example.net,3802903797650,Masculino,2026-01-01,True
CL-10038,Atilio Milla Sebastián,xarjona@example.org,0886636549700,Masculino,2025-04-27,True
CL-10039,Lucas del Rocamora,sosarosalva@example.com,8119293892009,Masculino,2024-07-22,True
CL-00165,123,ariasangeles@example.com,8653278029595,Masculino,2024-04-29,True
CL-10040,Rafa Batalla Abella,arroyoleoncio@example.com,4729218851486,Femenino,2023-10-26,True
CL-00167,Felisa Menendez Espejo,alemanyoctavio@example.net,5902086020555,Masculino,2024-10-24,True
CL-10042,Rosa Navarrete,wpuente@example.com,9470925162297,Masculino,2023-12-25,True
CL-10044,Hernando Sureda-Barroso,loretogracia@example.org,2170392988162,Femenino,2025-04-01,True
CL-00172,Edgardo de Pardo,xbenavent@example.com,4756692914231,Femenino,2024-10-22,True
CL-10045,José Ángel Carretero Menendez,nydiaalvarez@example.org,6895618718195,Masculino,2025-04-13,True
CL-10046,Irma Feliu-Perelló,kvillalonga@example.net,2967567555112,Masculino,2024-11-07,True
CL-00175,Teresita Ferrández Roldan,fmarti@example.com,6519484811140,Masculino,2024-06-12,True
CL-00177,Daniel Guardia-Echeverría,rosalindacamara@example.com,2422759627324,Masculino,2023-12-28,True
CL-00178,Julio Nicolau Pino,rosellojuan-luis@example.net,5588388812843,Femenino,2024-06-26,True
CL-00179,Adolfo Gimenez Lago,teclaflores@example.org,8323403963098,Femenino,2025-04-02,True
CL-10048,Inocencio Méndez,qcervantes@example.org,5604012413711,Femenino,2023-11-13,True
CL-00182,Belen Elías Sanjuan,xsomoza@example.com,6807053097179,Masculino,2025-07-25,True
CL-00183,Bibiana Rico-Cazorla,lolaluna@example.net,1841400584016,Femenino,2024-01-31,True
CL-00185,Guadalupe Cabo-Caro,villegasmaite@example.org,9189696517630,Masculino,2024-11-22,True
CL-00186,Filomena del Alfonso,purificacionflores@example.org,5024414327084,Femenino,2024-02-09,True
CL-00187,Anselma Verdejo Fuentes,palomarjuana@example.net,0454627975285,Masculino,2024-07-31,True
CL-00188,Paz Mayoral Atienza,caragones@example.org,8342289378488,Masculino,2025-03-15,True
CL-10049,Leoncio Leiva Peñas,efuster@example.net,4723378988643,Femenino,2024-03-03,True
CL-10050,Poncio Jose Luis Salas Salamanca,salmansa@example.com,0424863996919,Masculino,2024-08-18,True
CL-00192,Tamara Olmo Carbajo,talbero@example.com,34981450467,Femenino,2025-05-15,True
CL-00193,Teo Martin Alba,eduardo62@example.net,1683979209307,Femenino,2025-02-12,True
CL-00194,Charo Miguel Tejero,oscar68@example.net,1459750805223,Masculino,2024-12-01,True
CL-10051,Nélida Cañizares Adadia,ialcazar@example.net,0902280031163,Femenino,2024-09-22,True
CL-10052,Carina Exposito Mate,albinosotelo@example.net,3898953840529,Masculino,2023-08-27,True
CL-00197,Carolina Ortega Bonilla,vicentachamorro@example.com,7247784460624,Femenino,2024-11-12,True
CL-00198,Mariano Redondo Velázquez,manuelfelipa@example.net,0977900309969,Femenino,2026-01-01,True
CL-00199,Lupita Osorio,claudio01@example.com,6187956685251,Masculino,2024-04-25,True
CL-00201,Venceslás Alejandro Rius Recio,rosarioporta@example.org,6513092513134,Femenino,2024-03-30,True
CL-00202,Olimpia Gallart Mesa,gameztomas@example.com,3792481785294,Femenino,2025-07-17,True
CL-10053,Toribio Conesa Ramos,mpiquer@example.com,4816807899754,Femenino,2025-08-05,True
CL-10055,Ildefonso Fortuny Riquelme,colomergustavo@example.org,0278447934346,Femenino,2024-07-31,True
CL-00206,Adalberto Verdugo-Ribas,jose-franciscocontreras@example.net,3818743341214,Masculino,2024-11-20,True
CL-00207,Carmen Oliva Hervia,ruben96@example.com,5257259539177,Femenino,2025-03-18,True
CL-00208,Dolores Sanchez Román,abraham52@example.com,8524678783436,Masculino,2025-06-09,True
CL-00209,Eva Moraleda Alfaro,jenarocorominas@example.net,7565706001488,Femenino,2024-08-12,True
CL-10056,@Oliver,vamat@example.net,7973323677234,Femenino,2024-10-28,True
CL-00211,Dan Garcia Carrera,fdonoso@example.org,9499276215302,Femenino,2024-06-28,True
CL-00212,Marisol Río Parejo,izamora@example.net,2311870368484,Masculino,2024-07-12,True
CL-00213,Sergio de Andrade,tvalero@example.com,3560350257652,Masculino,2024-06-25,True
CL-10057,Amparo del Escolano,marcelino24@example.org,1446594571448,Masculino,2023-10-20,True
CL-00215,Celia Marin Salgado,scatalan@example.com,5015958765285,Femenino,2024-07-10,True
CL-00217,Alberto Iñiguez Leon,lourdes44@example.com,3540521394964,Masculino,2024-05-10,True
CL-00218,Encarnita Peralta Alfonso,valvaro@example.net,2505534389182,Femenino,2024-04-13,True
CL-10058,Juanito del Nadal,oscar99@example.com,9648944669272,Femenino,2025-07-11,True
CL-00220,Manuela Amador Bustos,juan-antonio73@example.org,9357162451283,Masculino,2025-04-24,True
CL-00221,Ciríaco Tamarit Arcos,vlumbreras@example.org,5034834505878,Masculino,2025-02-27,True
CL-10059,Camila Juanita Calleja Bonet,olujan@example.com,3836251063838,Femenino,2025-05-17,True
CL-00223,Rodolfo Tejedor Acuña,tnavarro@example.org,6313827804801,Masculino,2024-03-08,True
CL-00225,,phuguet@example.com,1790888462492,Femenino,2024-01-02,True
CL-10061,Santos Núñez-Esparza,anselmaserra@example.net,8497429727610,Masculino,2024-09-05,True
CL-00227,Cándido Cerdá Escudero,amayatorrent@example.org,4051265184403,Femenino,2025-07-09,True
CL-00228,Wilfredo Vallejo Miró,kparejo@example.org,34681753104,Femenino,2025-05-01,True
CL-00229,Milagros Vall Muro,joan10@example.org,7299333393323,Femenino,2025-07-10,True
CL-00231,Cruz del Díaz,garayjuan-bautista@example.com,9838111503864,Masculino,2024-04-14,True
CL-00233,Berto Camino Jáuregui,wmolina@example.com,1547187870182,Femenino,2024-10-22,True
CL-00234,Rafael Rojas Llanos,rgaray@example.org,9229161273741,Masculino,2000-01-01,True
CL-00235,Norberto de Castilla,novoaaurelia@example.org,3807288394539,Femenino,2023-09-23,True
CL-10063,Sabina Rueda Carrasco,franchnidia@example.org,1041241129091,Masculino,2025-01-10,True
CL-00237,Flor Manrique Zabaleta,julian03@example.org,9650646412639,Masculino,2024-10-19,True
CL-00238,Erasmo Chamorro Corbacho,alicia87@example.org,2291460112198,Masculino,2024-03-21,True
CL-00239,Marciano Cuervo-Diaz,kgalvez@example.org,8060837074012,Femenino,2024-04-22,True
CL-10065,Ileana Alegre Somoza,vcastejon@example.com,0400714474877,Masculino,2025-01-29,True
CL-00242,Germán Doménech-Vazquez,paredesdolores@example.net,3020673049293,Masculino,2024-11-24,True
CL-10066,Miguel Ángel Pujol Gárate,cblazquez@example.net,6821235426715,Femenino,2024-11-05,True
CL-00244,Édgar Peral Daza,dionisio86@example.net,6434840296858,Femenino,2024-04-25,True
CL-00245,Nydia Adela Montenegro Montserrat,jennifercal@example.org,6083686492915,Femenino,2024-04-12,True
CL-00246,Candelario Aranda Comas,lucasmorillo@example.org,0396561877562,Masculino,2024-05-28,True
CL-00247,Vera Olivera-Somoza,zairagalan@example.net,0775759219997,Femenino,2025-06-06,True
CL-00248,Héctor Cadenas Villalonga,npino@example.com,9914064312369,Masculino,2025-02-03,True
CL-10067,Nacio Medina Quintana,rosa84@example.net,9296783904880,Masculino,2025-05-11,True
CL-00250,Crescencia Pozuelo,loreto15@example.com,5583298793915,Femenino,2024-11-08,True
CL-10068,Paco Manso-Roda,puigcustodia@example.com,9342015703160,Masculino,2024-05-20,True
CL-00252,Amalia Ochoa Toro,mario44@example.org,34873406834,Femenino,2026-01-01,True
CL-10069,Luna del Cabanillas,fusterjovita@example.net,5149335088141,Femenino,2023-10-18,True
CL-00254,Raimundo Bueno Franco,hectorsegovia@example.org,1893233863315,Femenino,2023-09-05,True
CL-00255,,grauruperto@example.org,6710206942008,Femenino,2023-12-28,True
CL-10070,Genoveva Roda-Feijoo,dorotea94@example.net,4381279605350,Femenino,2024-09-06,True
CL-10071,José de Company,etoro@example.org,8058239049853,Femenino,2025-06-09,True
CL-00258,Lucas Torrents-Checa,orteganatanael@example.com,6641726317793,Femenino,2025-06-08,True
CL-00259,Primitiva Sotelo-Fabra,maitesainz@example.net,0518411094382,Femenino,2024-11-30,True
CL-10073,Odalys Elena Royo Castejón,nievesnovoa@example.org,0889984939718,Masculino,2025-04-17,True
CL-00262,Omar Mendizábal Otero,pugaadan@example.org,2936423456896,Femenino,2024-03-04,True
CL-00263,Lorena Royo Hierro,lhuguet@example.com,8618509163198,Masculino,2024-05-04,True
CL-00265,Reyna Hurtado-Alegre,calisto16@example.com,0017203758330,Femenino,2025-06-25,True
CL-10074,Rogelio Solano,juan43@example.com,4786890269274,Masculino,2023-11-15,True
CL-00267,Martín Barco Mariño,fatimapavon@example.com,0317171550279,Masculino,2024-08-06,True
CL-10075,Lucas Rebollo Boada,ligiaruano@example.org,4439332741428,Femenino,2024-06-17,True
CL-00269,Arturo Mascaró Acosta,ericpalomares@example.org,8387672979454,Masculino,2025-07-28,True
CL-00271,Águeda Collado Blanca,zamoratomasa@example.com,9518947152709,Masculino,2024-07-04,True
CL-10076,Lupita del Cañete,kroma@example.org,8754080580884,Masculino,2024-07-20,True
CL-00273,Alberto Agullo Calderón,juan-pablo79@example.net,3439834228304,Masculino,2024-05-01,True
CL-00274,Milagros Lluch Domingo,ualcala@example.org,4222862049370,Masculino,2025-02-07,True
CL-00275,Georgina Sanmiguel Peña,bmilla@example.com,1755122075327,Masculino,2025-03-19,True
CL-10077,Miguel Ángel Guardia-Zabaleta,dionisiopalmer@example.org,34854185939,Femenino,2025-06-28,True
CL-10078,Melania Zabaleta Galan,carrillomonica@example.net,3380169895570,Masculino,2024-02-01,True
CL-10079,Eugenia Garmendia Barceló,rgarzon@example.com,8001205595137,Femenino,2024-12-16,True
CL-00279,Tere Julieta Méndez Paredes,kvalverde@example.com,2566430345527,Femenino,2024-06-03,True
CL-10080,Yéssica Carreras Salazar,zhurtado@example.com,0498542861957,Masculino,2025-06-16,True
CL-10081,Agustín del Barba,gerardogascon@example.net,4739059567607,Femenino,2025-03-18,True
CL-00282,Juan Manuel Acevedo Abella,vidalcamps@example.com,5314188744704,Masculino,2023-10-29,True
CL-00283,Antonio Redondo Dominguez,lbernat@example.org,3369157438834,Femenino,2025-08-23,True
CL-10082,Blas Priego Coronado,eguillen@example.com,2801204139247,Femenino,2025-06-19,True
CL-00285,@Oliver,clementina99@example.com,0903299651779,Masculino,2024-12-30,True
CL-00286,Renato Acosta Calvet,qvaquero@example.org,4701549298380,Femenino,2025-04-11,True
CL-00287,Gala Cerro Reyes,evalverde@example.net,7639732228799,Masculino,2025-02-03,True
CL-10083,Venceslás Martinez Cortes,maura20@example.com,9964539573573,Masculino,2024-01-08,True
CL-00291,Domitila Emilia Ferrera Fonseca,esmeraldacorominas@example.net,7378246948902,Masculino,2024-03-28,True
CL-00292,Santiago Grande-Morata,ysanmiguel@example.com,6358725282740,Femenino,2024-11-27,True
CL-00293,Julia Blanch Albero,eliseo01@example.net,1167928540026,Masculino,2023-09-07,True
CL-00294,Telmo Borrego Parejo,fcalzada@example.com,9963048380998,Femenino,2025-05-21,True
CL-00295,Manolo Morcillo Quirós,jenny59@example.org,3049870725766,Masculino,2025-01-10,True
CL-00297,Erasmo Segarra,encarna15@example.com,6322152242103,Masculino,2024-02-24,True
CL-00298,Rosalina Pacheco Patiño,loretorocha@example.com,5755877595431,Masculino,2024-06-18,True
CL-10086,Paula del Roselló,qsans@example.org,8159752816435,Masculino,2025-07-01,True
CL-00301,Eloy Solano Hernando,eva-mariasanchez@example.net,1095938187088,Femenino,2024-06-11,True
CL-00302,Baudelio Pascual Gras Perez,navarromorena@example.net,7325915619355,Masculino,2024-05-12,True
CL-00303,Olalla Pereira-Cortes,aranavirgilio@example.net,0486240259226,Femenino,2024-07-03,True
CL-10088,Francisco Castañeda Pardo,visitacion61@example.com,6817744017894,Femenino,2025-04-12,True
CL-00305,Vicenta Fiol,martainiesta@example.net,5747802758898,Femenino,2023-11-26,True
CL-10089,Florentino Marqués Barrera,ginerplinio@example.net,4010921709550,Masculino,2000-01-01,True
CL-10090,Chema Iborra Fuertes,igarces@example.org,7172656189710,Masculino,2024-10-30,True
CL-00308,María Ángeles Zurita-Roselló,bllamas@example.com,3859482385499,Masculino,2023-10-08,True
CL-00309,Samu Plana-Lillo,mguardia@example.net,4161745281088,Femenino,2024-03-08,True
CL-10092,María Jesús Rebeca Benavides Cazorla,maria-teresamartin@example.com,0999308389960,Masculino,2024-03-11,True
CL-00313,Fermín Vidal Herrero,romulo40@example.net,9369237242285,Masculino,2024-08-19,True
CL-10093,Jose Bayo Albero,psantana@example.com,7933708758454,Masculino,2025-06-21,True
CL-00315,123,german77@example.org,9265224775193,Masculino,2024-10-12,True
CL-10094,Emperatriz Badía-Espada,vicenteevita@example.com,5381384387692,Femenino,2023-10-24,True
CL-00317,Iris Borrell Manzano,rodrigoivan@example.com,6164738704915,Femenino,2024-05-30,True
CL-00318,Leopoldo Viña Jover,pereirapastora@example.net,4170069536579,Masculino,2024-08-14,True
CL-00319,Zaida Gaya-Lorenzo,nlledo@example.com,2281195924366,Femenino,2024-03-15,True
CL-00321,Francisco Javier Arce Pérez,macariopina@example.com,6142946143596,Masculino,2024-05-22,True
CL-10096,Anastasio Cisneros Vilar,lopezadoracion@example.com,6106285611636,Femenino,2025-07-24,True
CL-10097,Jacobo Cardona Valenzuela,loreto02@example.com,9165227224665,Masculino,2025-08-18,True
CL-10099,Georgina Portero Gimeno,dviana@example.net,7909071487785,Masculino,2024-07-15,True
CL-00326,Rosaura Losa Cabello,tiburciotomas@example.com,7263015279761,Femenino,2024-09-20,True
CL-00327,Marciano Gargallo-Rincón,palomarpacifica@example.org,5678949539589,Femenino,2024-07-17,True
CL-00329,Gala Nicolás Campo,rherrera@example.org,3984622469604,Femenino,2024-02-17,True
CL-00331,Alejandra Benito Rosado,claudia85@example.org,4127644827470,Masculino,2023-10-16,True
CL-10101,Sigfrido Duque Ferreras,isaac38@example.com,7559279902161,Masculino,2024-03-28,True
CL-00333,Horacio Alcalá Albero,amilcar98@example.org,9821434079973,Masculino,2024-09-02,True
CL-00334,Valentín Pío Colom Roca,ceferinorequena@example.com,0632240126378,Femenino,2023-12-17,True
CL-00335,Lara Bayo,benigno87@example.com,3234007933022,Masculino,2024-10-19,True
CL-00337,Javier Manuel Corbacho,lucenaremigio@example.com,2502262675569,Femenino,2023-10-12,True
CL-00338,Leocadia Olivé-Iborra,nvara@example.org,3502585523361,Femenino,2025-08-23,True
CL-00339,Emelina María Ángeles Matas Morán,amparopina@example.com,1384011264626,Masculino,2024-04-16,True
CL-00341,Mar Feijoo-Valle,allamas@example.com,7654832867418,Femenino,2025-06-19,True
CL-00342,Claudio Jerez Mayoral,moises66@example.org,8839538780619,Masculino,2000-01-01,True
CL-00343,Nicanor Romeu Alcántara,evaristocabeza@example.net,6892220581810,Masculino,2023-10-16,True
